cv_rmse,test_source_rmse,test_target_rmse,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.677293208009528,9.316665368707413,3.1779199682180805,0.0489349280844955,1.3941855222546866e-14,3.541594046896692e-15,bew,False,True,True,True,True,True,True
4.330301124401115,6.454645365168863,9.575851668445493,0.02253768395151048,9.433107129092202e-15,2.0018524916993108e-14,bew,True,False,False,False,False,False,False
6.683876423159705,6.163044949199941,7.528272811115848,0.07641542221341352,4.165926057296536e-15,5.756054031998179e-15,bew,False,True,False,False,False,False,False
5.244554995943449,6.904542692171356,8.296527308464562,0.04803914030408907,2.574185619541936e-15,8.810443409599063e-15,bew,False,False,True,False,False,False,False
4.0244152493660215,5.174020518897186,8.3802409320553,0.029315748079134406,5.9580819677934555e-15,8.51910812704787e-15,bew,False,True,True,False,False,False,False
3.876696862953557,5.5037641285904035,6.32967850543248,0.04621003429596618,2.6347629809804343e-15,6.153480596427404e-15,bew,False,True,False,True,False,False,False
3.591602603186844,5.318974605664885,8.181809071488264,0.011508620963322563,1.6852000649168164e-15,4.351167857633658e-15,bew,False,False,True,True,False,False,False
3.2552348671940754,4.191718964940327,7.043952318254044,0.025129587496820593,1.820224107610997e-15,8.57448752792832e-15,bew,False,True,True,True,False,False,False
3.0346035897892256,2.426454478760615,3.1338226383595944,0.04055352141071247,2.4725840765205216e-15,2.044740276336181e-15,bew,False,True,False,False,True,False,False
3.0561675852838386,2.3699655042847603,2.8722568747465202,0.012661731365816402,1.012679207245471e-15,1.5511369252661372e-15,bew,False,False,True,False,True,False,False
2.842648617943591,2.5894017795732958,3.3724845010616677,0.03919225749617105,2.715851517262396e-15,7.135893176892176e-15,bew,False,True,True,False,True,False,False
5.935579215627586,94.37738672202461,6.185336467171562,0.04936884958321993,1.3361226676287467e-13,3.552713678800501e-15,bew,False,True,False,False,False,True,False
5.249638068990622,23.368633368695267,7.512480924787921,0.04054643856140466,7.202464378761879e-14,1.3748129796119704e-14,bew,False,False,True,False,False,True,False
3.9402489955927904,25.635361222752856,7.373018747616152,0.022204851989355824,1.1227924275731443e-13,1.5541853466645276e-14,bew,False,True,True,False,False,True,False
2.9421965106176673,25.492729716136314,3.1191455304816658,0.049316158120337635,4.2780337774645346e-14,2.333053845504853e-15,bew,False,True,False,False,True,True,False
3.0395411786850692,14.355145567754317,2.8121128437964664,0.013671497597480792,1.8288713016877624e-14,1.4862067603866002e-15,bew,False,False,True,False,True,True,False
2.8030475692651593,15.847295834267488,3.0972396309669934,0.04478420399380997,1.786983196433211e-14,2.3160859559832576e-15,bew,False,True,True,False,True,True,False
3.5807192937465175,4.047013330946576,4.433027885478599,0.07797206303243223,2.6046504151038584e-15,2.6046504151038584e-15,bew,False,True,False,False,False,False,True
4.390067929153773,4.484967508315284,6.865263310111199,0.04941559076155723,1.3173814904902171e-15,5.9182281294161785e-15,bew,False,False,True,False,False,False,True
2.9507560698901494,4.10441144791485,6.548852616783409,0.04934880595972412,2.025358414490942e-15,8.890661544741503e-15,bew,False,True,True,False,False,False,True
2.678887198989275,2.5759242085165632,3.4898266499601918,0.046401103064490176,2.2026108523997657e-15,1.9357399876532506e-15,btk,False,True,True,True,True,True,True
4.160509383206819,6.714457506824266,6.6495787252441705,0.043300350146061484,4.089480552672362e-15,5.387957062944473e-15,btk,True,False,False,False,False,False,False
6.930667554535179,6.103826434894432,7.30064654072265,0.04691073846625939,2.480547330877581e-15,1.0188920213991528e-14,btk,False,True,False,False,False,False,False
5.16203714406592,7.580101921368993,7.708595517606381,0.08379044251276889,1.5888218580782547e-15,1.3173814904902171e-15,btk,False,False,True,False,False,False,False
3.7627851596139843,6.086660282216155,5.726095311151359,0.07332669198405158,4.031195188471137e-15,5.891509130072236e-15,btk,False,True,True,False,False,False,False
4.44637130532968,3.1972101541216005,4.035654978546204,0.04837805466961898,2.1665000314020354e-15,1.3173814904902171e-15,btk,False,True,False,True,False,False,False
3.966579816072288,5.051868570728847,4.896363138425691,0.05671898445844577,2.2115464300733712e-15,2.1390168887322674e-15,btk,False,False,True,True,False,False,False
3.467037729616176,4.344116357963526,3.864321018877342,0.07638031663652917,1.6852000649168164e-15,1.9255249296071852e-15,btk,False,True,True,True,False,False,False
2.995029029185447,2.8975499649667915,3.569890289907508,0.054097522905274545,1.3023252075519292e-15,2.5042851667705585e-15,btk,False,True,False,False,True,False,False
3.072787362919885,2.6531610191871815,2.396741772291614,0.02460144021023665,7.944109290391273e-16,8.188600426433446e-16,btk,False,False,True,False,True,False,False
2.8360683745860102,2.8937040168309167,3.340817543138666,0.055053559684873195,1.3173814904902171e-15,2.2989928370877494e-15,btk,False,True,True,False,True,False,False
6.23576600464159,5.494112620471595,7.26285160961811,0.07648325208782263,2.3498992183808826e-15,7.420410445819465e-15,btk,False,True,False,False,False,True,False
4.841549481251465,6.6786013355952205,6.922898111967763,0.07318312277571808,5.617333549722722e-16,2.175583928816829e-15,btk,False,False,True,False,False,True,False
3.398747840520793,5.193179124198954,5.843898393625428,0.04241505327246398,2.063940136775644e-15,5.2695259619608686e-15,btk,False,True,True,False,False,True,False
2.9381464103087183,2.9304366574592136,3.740194249952702,0.030668435313935236,1.1580429779916288e-15,1.1749496091904413e-15,btk,False,True,False,False,True,True,False
