cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dataset_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft,dev_size_importance,test_size_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance
6.113672080847132,3.603742316645485,5.380103329659885,18.2,21.2,38.4,16.2,23.6,3.0,118.4,36.2,19.4,23.4,77.2,36.6,102.6,43.6,78.4,51.2,66.4,31.2,42.8,55.2,84.4,94.0,0.1399999999999999,28.8,0.0951183536569379,0.2027109009715871,0.4008062101064721,tgl,False,True,True,False,False,True,False,4.8,29.4,57.0,133.2,53.4,45.4,98.8,81.6,55.6,136.6,63.0,1.4,,161.8,,
4.353959429722073,3.824679370321731,3.805856592284752,,,,,,,138.8,35.2,20.8,32.8,55.2,55.4,60.6,46.0,67.0,42.6,63.0,17.8,38.8,62.0,77.2,52.2,0.1,35.2,0.0527025641724635,0.2184376066631971,0.0667857934326267,tgl,False,True,False,False,True,True,False,7.0,33.6,58.4,95.8,51.8,70.2,92.2,65.4,48.8,124.8,66.6,1.8,,141.6,289.0,
5.386814035546371,2.869062436734505,2.796494626038006,68.0,66.6,260.0,182.4,80.4,16.0,,,,,,,,,,,,,,,,,0.044,25.6,0.0259766350055088,0.2436793335809592,0.1946170818323991,tgl,False,False,True,False,True,True,False,,,,,,,,,,,,,,504.6,758.2,
4.329806323988421,3.15821847781512,3.822106311411532,23.8,17.4,49.4,32.0,19.6,2.2,151.4,41.0,18.0,42.2,73.8,48.4,79.8,42.4,81.6,51.2,64.6,27.8,35.0,75.2,107.6,54.2,0.14,41.6,0.0357311918245581,0.1807999933428197,0.2334834513171476,tgl,False,True,True,False,True,True,False,6.4,30.0,67.6,121.0,71.6,63.4,99.0,83.6,61.0,145.2,68.6,1.0,,163.0,331.4,
6.090585453514251,3.445741907004449,7.0992159694509285,,,,,,,136.4,39.4,19.8,22.0,83.0,47.0,111.4,43.6,80.8,50.4,78.6,28.0,52.0,67.8,84.0,99.2,0.14,35.2,0.089017233291136,0.3074687474764949,0.3120791493733455,tgl,False,True,False,False,False,False,True,6.8,32.8,62.0,133.2,49.0,44.8,99.4,71.6,68.0,155.6,63.6,1.8,,,,165.6
10.41408903683504,8.80605338639601,9.509069909219528,72.0,128.0,279.0,236.0,100.0,23.0,,,,,,,,,,,,,,,,,0.03,16.0,0.0305129006547218,0.0,0.0,tgl,False,False,True,False,False,False,True,,,,,,,,,,,,,,,,662.0
6.012147501504985,3.7911088122948926,6.700968945052757,12.6,15.0,40.6,20.8,22.2,3.2,88.8,37.8,17.8,23.2,69.0,41.6,95.2,41.8,77.4,45.4,62.2,21.0,45.8,54.4,88.8,93.2,0.18,28.8,0.1102361317223718,0.4039725847225183,0.2548771066220123,tgl,False,True,True,False,False,False,True,6.2,31.6,51.6,138.2,53.0,44.0,100.6,80.2,52.8,157.2,70.2,2.6,,,,145.6
3.868718932011192,4.237245061011354,2.6186290739398723,21.8,12.4,29.0,29.0,15.6,4.4,114.8,35.0,12.2,26.2,55.4,32.4,51.2,31.0,67.2,34.2,46.4,22.4,30.8,57.8,61.8,34.8,0.1399999999999999,25.6,0.0140162514587432,1.2425863014240397,0.4624283499991071,ltz,False,True,True,True,True,True,True,2.6,20.0,46.2,59.4,52.8,63.6,69.8,48.6,54.2,90.2,45.6,5.4,256.6,81.6,235.4,95.8
8.113532376987703,28.10488947007997,25.22705560341894,40.0,39.0,67.4,66.0,32.0,8.8,122.6,50.0,18.6,108.8,154.0,84.8,234.0,62.6,181.0,151.6,76.8,40.4,115.6,75.4,195.0,279.6,0.18,25.6,0.0279198355057164,1.3225213220579357,1.1215383215683006,ltz,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
7.280662395616792,5.53518622694666,8.464245466556227,,,,,,,123.6,23.2,17.4,44.4,95.6,32.0,121.4,32.2,75.2,65.4,60.6,22.0,50.2,54.0,62.4,83.8,0.1399999999999999,19.2,0.126640566648334,0.8794136639194005,0.98525354814,ltz,False,True,False,False,False,False,False,3.4,40.0,65.4,112.6,47.8,52.6,93.2,74.8,85.2,102.2,85.0,1.2,,,,
11.158152463951115,31.089509489187044,28.99036965801083,192.0,264.4,606.0,354.2,125.6,89.8,,,,,,,,,,,,,,,,,0.03,19.2,0.0180056460293886,3.552713678800501e-15,0.0,ltz,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,
6.691162969493581,25.37250893628637,22.90871784631961,56.8,37.4,42.8,41.0,22.4,6.6,87.2,34.8,14.4,56.0,70.2,36.2,129.4,37.0,76.4,68.2,68.8,23.8,66.6,50.4,91.6,103.8,0.22,28.8,0.01056687710362,0.938939180809511,1.6153359123383144,ltz,False,True,True,False,False,False,False,2.8,50.8,41.6,119.4,64.6,40.6,109.0,89.2,64.4,124.4,89.4,6.6,,,,
