cv_rmse,test_rmse,cv_rmse_se,test_rmse_se,train_mt560,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
4.334408102406963,3.3471893577865246,0.013329820336201685,1.1057732150366856e-15,True,False,True,True,True,True,True,True
10.36169886835965,8.581551517129734,0.01736522584954039,6.453824896576403e-15,True,True,False,False,False,False,False,False
10.116105879984824,11.954766727935448,0.021256337060580645,2.7519201823675253e-15,True,False,True,False,False,False,False,False
11.55998860963985,9.155001808642307,0.013901465903405992,3.972054645195637e-15,True,False,False,True,False,False,False,False
9.032538224239705,12.077530837225952,0.02209069616644716,9.631720638286339e-15,True,False,True,True,False,False,False,False
7.034813281778812,8.645615147599667,0.023038538055669733,3.076740298213702e-15,True,False,True,False,True,False,False,False
7.273879742718447,5.28021328283008,0.03503330164005778,1.4321446692197793e-15,True,False,False,True,True,False,False,False
6.4156154626201545,7.9095790349879795,0.03201742836628935,5.3438529890894854e-15,True,False,True,True,True,False,False,False
5.06155291625308,3.635739148719928,0.01657759462651232,8.426000324584082e-16,True,False,True,False,False,True,False,False
5.3911656031541835,4.07777471292348,0.008361431197152736,1.4862067603866002e-15,True,False,False,True,False,True,False,False
4.919375048065006,6.380128823574124,0.01326829808965692,1.0509068785146553e-15,True,False,True,True,False,True,False,False
8.032826508229737,12.655866658447076,0.021452454912931088,2.9724135207732003e-15,True,False,True,False,False,False,True,False
10.472270887077242,16.893352730038362,0.016464444413749283,4.203627514058621e-15,True,False,False,True,False,False,True,False
7.926886215078315,8.538900618080188,0.021945648121984525,1.9459014222361975e-15,True,False,True,True,False,False,True,False
4.975833283216488,3.1800902303330125,0.01423173402203779,2.808666774861361e-16,True,False,True,False,False,True,True,False
5.401215223795019,3.8856752865146653,0.011436255496119013,1.3615517350689903e-15,True,False,False,True,False,True,True,False
4.908373499807472,4.808796375375584,0.013175335964508709,1.4862067603866002e-15,True,False,True,True,False,True,True,False
7.93961587469046,8.539878245652043,0.020308000215692276,1.9459014222361975e-15,True,False,True,False,False,False,False,True
10.456151792964473,13.13227273470124,0.017971996195328844,1.5888218580782547e-15,True,False,False,True,False,False,False,True
7.890871070510903,7.244432348756952,0.01890163534825501,3.9720546451956367e-16,True,False,True,True,False,False,False,True
