cv_rmse,test_source_rmse,test_target_rmse,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.692401332967383,3.52768307883796,3.0987760939571642,0.04547006872152924,6.423194325494046e-15,3.208525333098401e-15,bew,False,True,True,True,True,True,True
4.4651796504277215,6.0062256572797805,8.264316577093425,0.02456897071430213,3.0250266941902737e-15,8.481987653619656e-15,bew,True,False,False,False,False,False,False
6.656917660504048,6.168377874754786,7.812421952998359,0.07032061321499648,2.8366143962925803e-15,3.7048859295321906e-15,bew,False,True,False,False,False,False,False
5.334986049210174,6.890738600473492,6.929368634336787,0.05171157656552494,7.944109290391273e-16,3.891802844472395e-15,bew,False,False,True,False,False,False,False
4.08465836406028,4.938842784253486,7.846730316840367,0.03503502187069516,2.808666774861361e-15,1.2015054958486256e-14,bew,False,True,True,False,False,False,False
3.877886207260326,5.4663724594978245,6.34949871266255,0.053264798989803575,7.944109290391273e-16,5.944827041546401e-15,bew,False,True,False,True,False,False,False
3.604007798852698,5.030475423046072,7.45690719089843,0.013274426391281166,3.9720546451956367e-16,6.538827193234184e-15,bew,False,False,True,True,False,False,False
3.2808295215947147,4.09553819432463,6.818377215662996,0.025098200151274255,2.3160859559832576e-15,3.871479975306501e-15,bew,False,True,True,True,False,False,False
3.033803892491489,2.414566249480574,3.148801108842124,0.03508451215988537,1.9049304879749955e-15,1.7084453018220232e-15,bew,False,True,False,False,True,False,False
3.0691043963086457,2.340617319182093,2.802408949771485,0.011058664274047982,1.5125133470951368e-15,1.5637994776137817e-15,bew,False,False,True,False,True,False,False
2.854667920004197,2.6336784667568987,3.2075003568853937,0.035583819250493115,2.912087692897636e-15,7.264626250488438e-15,bew,False,True,True,False,True,False,False
5.94806438177563,35.76968993552298,6.464803758184307,0.04133020947656568,5.288653160826128e-14,3.552713678800501e-15,bew,False,True,False,False,False,True,False
5.358723146988039,7.660305848148728,6.1585811254586815,0.044028626827367884,1.1283711716570542e-14,1.0964597665016359e-14,bew,False,False,True,False,False,True,False
4.0462436898512095,10.580116526093988,6.703850048534773,0.02578338637297809,2.2015361458940203e-14,1.2184564922991482e-14,bew,False,True,True,False,False,True,False
2.9524910387418237,9.358060342152118,3.144674151084274,0.04420981029330264,1.6415690214654323e-14,1.6734563673829658e-15,bew,False,True,False,False,True,True,False
3.059995312154268,5.442452011286883,2.730749823711908,0.011547435267412353,6.355287432313019e-15,1.287092809770968e-15,bew,False,False,True,False,True,True,False
2.830563757108351,5.652394049842044,2.942467585475233,0.04194499015650365,2.180292598451368e-14,1.8630587706705477e-15,bew,False,True,True,False,True,True,False
