cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
3.26235184533819,1.0891162089340105,0.621933154268582,94.0,3.0,11.0,24.0,12.0,15.0,2.0,4.0,25.0,21.0,17.0,20.0,35.0,17.0,44.0,30.0,37.0,20.0,27.0,41.0,20.0,72.0,27.0,20.0,68.0,54.0,23.0,63.0,35.0,21.0,41.0,43.0,50.0,2.0,167.0,61.0,149.0,82.0,0.1,16.0,0.0278466201122398,0.0,0.0,khm,False,True,True,True,True,True,True
7.498673870976452,9.983150585842008,12.405963528242818,157.0,47.0,74.0,92.0,78.0,47.0,10.0,,,75.0,50.0,198.0,228.0,98.0,331.0,87.0,214.0,188.0,91.0,51.0,222.0,109.0,198.0,281.0,,,,,,,,,,,,,,,0.1,32.0,0.044050230937607,0.0,0.0,khm,True,False,False,False,False,False,False
3.3176677326893342,2.3422551383179187,2.70096735876848,105.4,2.2,9.6,26.0,16.0,10.2,2.8,2.2,24.6,25.2,17.4,22.8,50.0,26.0,44.0,36.8,28.6,22.4,26.4,31.8,15.8,60.4,26.2,22.4,55.2,45.6,31.0,65.0,36.0,23.4,52.0,48.6,41.4,3.0,156.0,70.8,134.2,80.6,0.1,16.0,0.0297171063702528,0.0038535546423295,0.0329670964360355,tgl,False,True,True,True,True,True,True
7.578784403444748,9.14819377008132,6.353804834182984,139.0,47.0,82.0,84.0,69.0,45.0,8.0,,,70.0,49.0,200.0,210.0,88.0,315.0,74.0,216.0,218.0,99.0,70.0,234.0,100.0,172.0,276.0,,,,,,,,,,,,,,,0.1,32.0,0.0509737040342248,0.0,0.0,tgl,True,False,False,False,False,False,False
3.256769350592557,8.435283190258478,3.144420819758577,108.2,4.4,16.6,25.4,21.2,16.0,2.0,4.8,27.2,19.8,16.6,29.2,56.6,24.6,47.4,32.4,38.8,24.4,22.8,38.4,24.6,70.6,35.2,21.8,62.2,62.2,32.2,65.0,46.6,21.4,59.2,61.0,62.8,3.6,194.0,76.0,192.2,93.6,0.1,19.2,0.0256355872170169,0.0653973418349956,0.0633305061733875,ltz,False,True,True,True,True,True,True
7.459427880974244,25.00356510893252,22.36277016018109,144.0,46.0,71.0,82.0,93.0,49.0,8.0,,,85.0,54.0,211.0,212.0,72.0,345.0,78.0,200.0,212.0,82.0,72.0,211.0,122.0,167.0,296.0,,,,,,,,,,,,,,,0.1,32.0,0.0677355398640799,0.0,0.0,ltz,True,False,False,False,False,False,False
3.2521326091301352,5.601959662256254,0.8422155316985057,105.8,3.8,14.4,31.0,18.2,14.8,4.4,2.2,24.6,27.2,17.6,27.6,53.6,21.8,51.0,35.8,34.2,20.6,23.8,48.2,30.4,66.4,29.8,26.2,62.4,56.4,30.8,69.2,49.4,24.0,71.2,62.8,48.0,2.6,198.2,68.0,186.6,97.6,0.1,19.2,0.0171302509459665,0.1126852890513951,0.5754655206403299,lmo,False,True,True,True,True,True,True
7.500611290615391,2.7420135930765404,8.492533427081867,145.0,51.0,75.0,82.0,90.0,55.0,7.0,,,68.0,52.0,221.0,226.0,83.0,323.0,72.0,207.0,185.0,84.0,70.0,229.0,122.0,149.0,298.0,,,,,,,,,,,,,,,0.1,32.0,0.0617162120197292,0.0,0.0,lmo,True,False,False,False,False,False,False
3.2922747664692067,4.460546361722526,6.684293284117112,125.2,7.6,11.2,31.4,27.6,16.4,4.0,3.6,27.4,32.6,15.8,30.4,55.6,33.0,52.2,48.6,34.6,34.4,27.2,41.0,37.6,81.2,38.4,36.0,58.6,73.2,38.4,81.4,64.0,31.2,60.4,77.0,50.8,3.2,228.8,59.6,214.4,118.6,0.1,22.4,0.0300410971031541,0.0445707721442568,0.0295868162689891,fra,False,True,True,True,True,True,True
7.630983042900401,11.7429069173165,16.041893678196548,166.0,46.0,48.0,84.0,82.0,43.0,7.0,,,58.0,40.0,205.0,248.0,86.0,302.0,85.0,198.0,201.0,76.0,75.0,208.0,129.0,208.0,309.0,,,,,,,,,,,,,,,0.1,32.0,0.0520758844020328,0.0,0.0,fra,True,False,False,False,False,False,False
3.2289070260511408,3.378407541169912,1.0409365772448942,92.0,4.0,10.0,30.0,12.0,11.0,2.0,3.0,23.0,21.0,12.0,22.0,53.0,15.0,36.0,27.0,38.0,21.0,35.0,37.0,14.0,74.0,24.0,17.0,58.0,55.0,21.0,53.0,37.0,22.0,51.0,57.0,50.0,6.0,161.0,60.0,152.0,84.0,0.1,16.0,0.0283335446651956,4.440892098500626e-16,0.0,dik,False,True,True,True,True,True,True
7.523170766140822,2.9111244352504437,5.347339622695491,153.0,48.0,70.0,97.0,86.0,55.0,5.0,,,95.0,40.0,182.0,221.0,84.0,314.0,78.0,219.0,180.0,79.0,71.0,244.0,122.0,199.0,289.0,,,,,,,,,,,,,,,0.1,32.0,0.0354743715739102,0.0,0.0,dik,True,False,False,False,False,False,False
3.327038617182092,2.5283124931971908,3.549442987501373,95.0,5.0,12.0,28.0,17.0,12.0,2.0,1.0,20.0,18.0,13.0,35.0,44.0,17.0,52.0,23.0,40.0,21.0,24.0,33.0,21.0,63.0,27.0,13.0,53.0,47.0,24.0,65.0,53.0,29.0,44.0,68.0,33.0,3.0,154.0,60.0,149.0,78.0,0.1,16.0,0.0317630419452845,0.0,6.017257429427048e-05,kor,False,True,True,True,True,True,True
