cv_rmse,test_rmse,cv_rmse_se,test_rmse_se,train_mt560,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
4.362591010113057,3.2761462890448967,0.013961969532241585,6.586907452451086e-16,True,False,True,True,True,True,True,True
10.46270199059968,9.274078396573444,0.01433964000183204,7.904288942941303e-15,True,True,False,False,False,False,False,False
10.212800176414683,11.72602593935942,0.01730230336877709,1.3759600911837627e-15,True,False,True,False,False,False,False,False
11.631843737792872,8.18735791691633,0.012853519095533238,2.5121479338940403e-15,True,False,False,True,False,False,False,False
9.079270665759118,13.833822032793654,0.01898153291407982,1.343470785371113e-14,True,False,True,True,False,False,False,False
7.12899929798687,8.641601804759068,0.027440392807858604,3.1776437161565094e-15,True,False,True,False,True,False,False,False
7.302809323905885,5.636815435791125,0.02199213562446246,1.2560739669470201e-15,True,False,False,True,True,False,False,False
6.486476804935132,8.665054442449991,0.026712697083087666,6.925513918651634e-15,True,False,True,True,True,False,False,False
5.077585893565508,3.6412612229015147,0.012134076331112355,5.958081967793455e-16,True,False,True,False,False,True,False,False
5.390030074664773,4.077537225175851,0.007750149423118386,9.729507111180987e-16,True,False,False,True,False,True,False,False
4.939371909376925,6.343935510040111,0.009695444843844221,1.191616393558691e-15,True,False,True,True,False,True,False,False
8.045044418946619,12.516574544951263,0.0212290998387308,1.9459014222361975e-15,True,False,True,False,False,False,True,False
10.470950570076656,16.480582001849573,0.017052530704007036,1.5888218580782547e-15,True,False,False,True,False,False,True,False
7.9401505267627694,7.977351254848631,0.02150354771008544,2.3160859559832576e-15,True,False,True,True,False,False,True,False
4.980941993385735,3.1945307478370673,0.01363467287191341,5.254534392573277e-16,True,False,True,False,False,True,True,False
5.399220840399087,3.9487310951311243,0.008583970985602644,8.881784197001252e-16,True,False,False,True,False,True,True,False
4.920410036783283,4.723341040728755,0.010949582567328241,2.383232787117382e-15,True,False,True,True,False,True,True,False
7.959595542922031,8.54551953226814,0.019839344114892944,2.2469334198890887e-15,True,False,True,False,False,False,False,True
10.453108963226578,12.934561421919096,0.01812207535169123,4.203627514058621e-15,True,False,False,True,False,False,False,True
7.914228428216669,7.061788311906733,0.01759063621383919,1.191616393558691e-15,True,False,True,True,False,False,False,True
