cv_rmse,test_rmse,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
10.607259444005766,9.933765290527667,0.25982735937778473,0.5171328856149872,True,False,False,False,False,False,False
4.400540415946659,4.264382352004498,0.11288289952419688,0.2091549815362977,False,True,True,True,True,True,True
10.361346438816621,9.640112781370735,0.2521638351696107,0.5581694098006316,False,True,False,False,False,False,False
11.763711296931735,11.080956599563285,0.23121121034445333,0.5757239033986833,False,False,True,False,False,False,False
9.289294461408982,8.555288829657197,0.23813821579862735,0.5368099942936849,False,True,True,False,False,False,False
7.16858590093274,6.9063974252296605,0.14725141199009745,0.30537786404853284,False,True,False,True,False,False,False
7.332220207483672,7.122532415786992,0.1188510266816431,0.2843765849573569,False,False,True,True,False,False,False
6.503905720520713,6.3031014686257505,0.11291236212485974,0.24916157356749133,False,True,True,True,False,False,False
5.096339234218108,4.963159700257483,0.09278612665967756,0.1743568171709657,False,True,False,False,True,False,False
5.438662993091209,5.304342806855047,0.07431188679110808,0.16447698174939127,False,False,True,False,True,False,False
4.96975333218804,4.8121594919368365,0.12192420112642526,0.20523339612721678,False,True,True,False,True,False,False
8.225066535120877,7.684216549770456,0.17759754276179268,0.4582723789617004,False,True,False,False,False,True,False
10.63584128665759,10.157281299036047,0.16069535894358425,0.34822575841565967,False,False,True,False,False,True,False
8.140366001992616,7.559375084441098,0.21659135255465878,0.49717903878437,False,True,True,False,False,True,False
5.029857920772521,4.8639192892622365,0.10990560144603492,0.2086265827988212,False,True,False,False,True,True,False
5.45242242892172,5.305094093154406,0.07761751238494798,0.16397378552151873,False,False,True,False,True,True,False
4.970735031071237,4.797477824656875,0.12912017688198954,0.22164673950700478,False,True,True,False,True,True,False
8.160321384756111,7.5149007442251134,0.20327967003823688,0.518588994221871,False,True,False,False,False,False,True
10.635075815098931,10.087603125397624,0.17177189320474598,0.4033860841239632,False,False,True,False,False,False,True
8.135648952365973,7.4620060066315075,0.2226751368085003,0.5271847850925188,False,True,True,False,False,False,True
