cv_rmse,test_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,eta,n_estimators,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.363039637750531,2.4071261674760605,0.017426852,0.040866427,0.005016298,0.04288473,0.008054699,0.015016089,0.0042258445,0.008859666,0.014315891,0.014364975,0.009597572,0.010485625,0.00674588,0.0115299225,0.006436497,0.048667412,0.010003438,0.017536113,0.013014893,0.00553318,0.010949512,0.20315135,0.011654101,0.010183286,0.0088100005,0.09158869,0.020166915,0.21293631,0.11997791,0.025019854450360833,1100.0,0.22653686069505666,0.2787054300644601,False,True,True,True,True,True,True
2.358954109366139,2.4459247866934213,0.050191484,0.14730501,0.022837043,0.15486786,0.028983986,0.07709871,0.03863853,0.01385771,0.04872551,0.114735544,0.027997172,0.024501126,0.07714579,0.018503789,0.031468846,0.123141885,,,,,,,,,,,,,,0.03406064754115207,1560.0,0.2229650615697728,0.2960863423533776,True,False,False,False,False,False,False
6.534240122500949,6.723786615521975,0.019881275,,,,,,,0.01826051,0.04603646,0.061995424,0.019089231,0.05057981,0.065925635,0.026740009,0.020344071,0.05114305,0.021872565,0.050624162,0.118712544,0.01462948,0.038864404,0.23468044,0.030227203,0.030857284,0.07953646,,,,,0.012909616175014372,160.0,0.3135938182226603,0.26506684025620836,False,True,False,False,False,False,False
4.6130109069467,4.575867715048909,,0.25941294,0.07563182,0.28199774,0.10052302,0.18668611,0.095748365,,,,,,,,,,,,,,,,,,,,,,,0.01814661822304408,520.0,0.16069148999715116,0.23149736813166624,False,False,True,False,False,False,False
2.382762919099288,2.479626486370841,0.03818031,0.071734466,0.009634745,0.06643943,0.008296232,0.029030079,0.011051035,0.0049965656,0.016497979,0.023940243,0.014761254,0.018139893,0.07994843,0.01679127,0.008191739,0.047348414,0.01364716,0.028765475,0.06054637,0.0037332487,0.00846789,0.39207512,0.0075723394,0.0062418035,0.01396853,,,,,0.04163887400786806,1420.0,0.19620622220678147,0.2966776618401657,False,True,True,False,False,False,False
4.013237159749531,4.458724258749917,0.03299766,,,,,,,0.02178427,0.04434838,0.05614249,0.029674824,0.021015208,0.038380884,0.03305339,0.018585647,0.043174677,0.027372535,0.036847573,0.07968986,0.018382343,0.017476257,0.26554236,0.042843744,0.028301159,0.030224588,0.114162184,,,,0.023955849325810453,980.0,0.1710903154527396,0.22384746376643522,False,True,False,True,False,False,False
3.639380325002918,3.711513102370239,,0.16525447,0.046873834,0.2205359,0.06408687,0.15057106,0.08167681,,,,,,,,,,,,,,,,,,,0.271001,,,,0.022273223579947828,660.0,0.16335027988460435,0.4438731491829029,False,False,True,True,False,False,False
2.5338968148287724,2.564727095253069,0.017614765,0.07061057,0.013751119,0.07136085,0.010929726,0.034902953,0.007016828,0.007633439,0.025211904,0.058132045,0.00939207,0.013833173,0.04227713,0.012731043,0.009406109,0.0375257,0.014011867,0.019793747,0.045268796,0.0064924173,0.008051712,0.31864494,0.018277355,0.0105329165,0.013464955,0.10313183,,,,0.051689904839949154,1080.0,0.20790431658295405,0.42887347906418033,False,True,True,True,False,False,False
3.4142024502008814,3.3130934566246593,0.020337936,,,,,,,0.016142437,0.040174194,0.059573095,0.021519447,0.022105537,0.027177194,0.01910707,0.017205559,0.051526904,0.016941259,0.05353416,0.06116568,0.013497633,0.02646643,0.28210017,0.024150688,0.022420147,0.036067937,,,0.16878651,,0.014587058796582009,700.0,0.3184600600152804,0.3879560677296046,False,True,False,False,True,False,False
2.8616041348313956,2.8576065056985014,,0.1610762,0.042276107,0.19532171,0.06455414,0.12346619,0.07520599,,,,,,,,,,,,,,,,,,,,,0.33809966,,0.0394983188728991,640.0,0.11319327600834443,0.2143812951158527,False,False,True,False,True,False,False
