cv_rmse,test_rmse,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,train_test_jsd_importance,train_test_tf_idf_importance,train_test_st_similarity_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,direction_indicator_importance,smollm_135m_score_importance,smollm_360m_score_importance,bloomz_560m_score_importance,eta,n_estimators,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
1.7421098033903377,1.6439245249880223,0.013828905,0.1681227,0.008893871,0.0970077,0.022531997,0.009513646,0.27217752,0.012433703,0.006112517,0.0036869298,0.064367935,0.0047640335,0.035198465,0.012028339,0.0051990887,0.020196365,0.029161885,0.0048865783,0.049193956,0.099951215,0.060742665,0.038235801467103175,4050.0,0.024899965150885463,0.08244057467951894,False,True,True,True,True,True,False
1.9270991908811606,1.9085244538571273,0.011850211,0.28703588,0.007693143,0.13062993,0.02866059,0.007894801,0.27314538,0.010731587,,,,0.028518993,0.059493978,0.018542815,0.010293065,0.033040054,0.0924696,,,,,0.03262223657672456,3550.0,0.16430364110367873,0.3002171448635498,True,False,False,False,False,False,False
1.7541809692814083,1.7114438016166893,0.013141796,0.2759172,0.009759175,0.10414169,0.02944913,0.0095166825,0.24756984,0.01123942,0.0064306064,0.0038604166,0.059571303,0.0063012885,0.02865982,0.011894086,0.0049120025,0.024351994,0.038677175,0.003938918,0.11066754,,,0.03952102330513201,4450.0,0.04030491815010101,0.07697032580442395,False,True,True,True,False,False,False
1.6791085179798446,1.5681092844231352,0.013751644,0.24565712,0.009505156,0.1034109,0.037797503,0.009261467,0.24188761,0.012691761,0.006070743,0.0038066562,0.060520165,0.0047892714,0.03582213,0.009643577,0.005269598,0.027076628,0.037427824,0.0042167613,,0.13139348,,0.031579822654533476,4500.0,0.03073657355021768,0.0296373616868929,False,True,True,False,True,False,False
1.943803735422802,1.7914483587781382,0.016822457,0.21759745,0.013889169,0.13012382,0.0133330915,0.012206523,0.18388233,0.018491538,0.0062079853,0.0045390166,0.07426052,0.017172063,0.05056279,0.017166067,0.004744624,0.026077082,0.06374018,0.008744595,,,0.12043868,0.02698842675207528,4250.0,0.052685407052836516,0.08879461341626084,False,True,True,False,False,True,False
