cv_rmse,test_source_rmse,test_target_rmse,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
5.259818019941077,3.5874681661314347,3.788017456345248,0.0050145004623824395,1.031970068387822e-15,8.426000324584082e-16,sin,False,True,True,True,True,True,True
11.071822138587647,9.448995135496943,10.1264069497643,0.01082879786193166,1.1234667099445444e-15,1.1234667099445444e-15,sin,True,False,False,False,False,False,False
10.943951503125083,7.664661056389134,7.760768738821362,0.009799836849941346,9.729507111180987e-16,5.617333549722722e-16,sin,False,True,False,False,False,False,False
11.703217610152365,10.595871623069415,11.972125666496089,0.006258898224904342,0.0,1.1234667099445444e-15,sin,False,False,True,False,False,False,False
10.260537651051568,7.157416957295318,7.917835313540739,0.014031044715864981,1.4862067603866002e-15,8.881784197001252e-16,sin,False,True,True,False,False,False,False
7.090796757520565,4.9760222431594485,5.133844380480537,0.01067124479869362,1.9860273225978185e-15,6.879800455918813e-16,sin,False,True,True,True,False,False,False
5.862956870057565,4.227820328627016,3.572808743834816,0.0068104813359612494,8.881784197001252e-16,5.617333549722722e-16,sin,False,True,True,False,True,False,False
8.2833863537582,6.07784228260522,7.3658560849220205,0.008074477889083716,1.0509068785146553e-15,1.3759600911837627e-15,sin,False,True,True,False,False,True,False
8.24422788958484,6.107764021538921,7.415918762247891,0.009223202733215459,8.881784197001252e-16,6.879800455918813e-16,sin,False,True,True,False,False,False,True
5.20190173910879,5.066862273928443,3.4908077072205708,0.008211525411796301,8.881784197001252e-16,1.5254965324123109e-15,fao,False,True,True,True,True,True,True
11.000195193647741,12.228982450984432,16.710351342511288,0.010571170475472918,3.076740298213702e-15,2.7519201823675253e-15,fao,True,False,False,False,False,False,False
10.844447691847593,6.735387842875914,7.625019230905982,0.017672250012024073,2.383232787117382e-15,9.729507111180987e-16,fao,False,True,False,False,False,False,False
11.657756665367497,14.348348667945434,18.225833962541095,0.011197631480896222,4.699798436761765e-15,5.503840364735051e-15,fao,False,False,True,False,False,False,False
10.134474485262823,15.052340953390466,16.347808814553474,0.02329811697289522,4.5635433489597435e-15,5.0242958677880805e-15,fao,False,True,True,False,False,False,False
7.0274594041682565,7.623262052605218,8.958318685846205,0.015622866878430534,2.6645352591003757e-15,3.076740298213702e-15,fao,False,True,True,True,False,False,False
5.7931063604843915,8.576659236880296,5.779074572846045,0.006825591308268554,7.944109290391273e-16,1.4862067603866002e-15,fao,False,True,True,False,True,False,False
8.211784272245694,9.202049670024698,9.231650303542938,0.017593753416552744,3.7261175413410954e-15,2.7519201823675253e-15,fao,False,True,True,False,False,True,False
8.18705744846254,5.921940960731396,6.836237356827001,0.018423929195153062,2.3160859559832576e-15,1.9049304879749955e-15,fao,False,True,True,False,False,False,True
5.231205493164905,4.496161198827326,4.738770268590462,0.017036711891628954,9.729507111180987e-16,2.3498992183808826e-15,amh,False,True,True,True,True,True,True
11.003900017784499,8.192046502302361,15.417564182618927,0.013683351353301846,1.9459014222361975e-15,1.7763568394002505e-15,amh,True,False,False,False,False,False,False
10.820720664539436,11.008771851199956,12.977973748484155,0.03096318824722573,0.0,7.944109290391273e-16,amh,False,True,False,False,False,False,False
11.674488633189274,7.958915061154897,15.909654757460814,0.006068709120832006,6.879800455918813e-16,2.1018137570293106e-15,amh,False,False,True,False,False,False,False
10.160703180652181,9.88084170964295,13.329616617602738,0.020645204085887593,1.1234667099445444e-15,1.1234667099445444e-15,amh,False,True,True,False,False,False,False
7.044859487348006,6.863428570596983,8.050049324166036,0.013803525449163185,1.1234667099445444e-15,1.1234667099445444e-15,amh,False,True,True,True,False,False,False
5.7902816722776755,4.828543324576918,7.583893288249312,0.01201872046931929,1.3759600911837627e-15,1.4862067603866002e-15,amh,False,True,True,False,True,False,False
8.132727230725033,9.820566585201155,14.050592052843658,0.01003473372676113,1.1234667099445444e-15,7.944109290391273e-16,amh,False,True,True,False,False,True,False
8.1168252759045,8.002459232676982,13.997150367718618,0.012541832361667145,7.944109290391273e-16,0.0,amh,False,True,True,False,False,False,True
5.244669012877561,2.9411935534104687,2.8497316947655427,0.0077051230220213564,3.9720546451956367e-16,1.1749496091904413e-15,tgl,False,True,True,True,True,True,True
11.070038963253788,11.201977847659366,7.954896888217211,0.014124613454414849,1.1234667099445444e-15,8.881784197001252e-16,tgl,True,False,False,False,False,False,False
10.897842872250807,8.678267772603563,6.9516477909529755,0.007385518207353391,7.944109290391273e-16,6.879800455918813e-16,tgl,False,True,False,False,False,False,False
11.695856504605258,12.761901074871233,9.631557145978535,0.004267137649678469,1.5888218580782547e-15,0.0,tgl,False,False,True,False,False,False,False
10.220407848246888,9.736779226807174,7.626421435631497,0.011616930757055824,1.5888218580782547e-15,7.944109290391273e-16,tgl,False,True,True,False,False,False,False
7.064670641254449,7.735201973772192,3.2659106593693488,0.010169879977605744,1.538370149106851e-15,8.426000324584082e-16,tgl,False,True,True,True,False,False,False
5.844439707091656,3.185095172325801,3.2820399021745104,0.005791037869163102,1.696862488257871e-15,9.101120538054985e-16,tgl,False,True,True,False,True,False,False
8.28310315901152,5.423744744918486,6.87755110099795,0.009957062918873336,3.9720546451956367e-16,9.729507111180987e-16,tgl,False,True,True,False,False,True,False
8.228426567818573,6.639972116893574,7.075551599470481,0.010529394242531688,1.2560739669470201e-15,8.881784197001252e-16,tgl,False,True,True,False,False,False,True
5.2015299543240605,6.345425220456735,3.406166825819335,0.0057029590244451825,2.3498992183808826e-15,1.4594260666771483e-15,lmo,False,True,True,True,True,True,True
11.047097498716436,4.89218290074364,10.7144518365403,0.014694103377747503,1.3759600911837627e-15,3.7261175413410954e-15,lmo,True,False,False,False,False,False,False
10.83974998854209,6.897316686108122,10.765330171754284,0.021421529361182013,2.063940136775644e-15,3.076740298213702e-15,lmo,False,True,False,False,False,False,False
11.695233801086614,8.104628706761709,13.290674409951583,0.0077406444675665815,7.944109290391273e-16,1.5888218580782547e-15,lmo,False,False,True,False,False,False,False
10.174599355126919,8.936165673004203,13.211326162615592,0.01361431441332584,3.1776437161565094e-15,2.1018137570293106e-15,lmo,False,True,True,False,False,False,False
7.041436319980001,7.335329260143591,8.73796016245243,0.0075426786624556786,1.3173814904902171e-15,2.2469334198890887e-15,lmo,False,True,True,True,False,False,False
5.80236369055108,4.771749899758583,4.017143248720446,0.007706478318944474,1.2560739669470201e-15,1.6852000649168164e-15,lmo,False,True,True,False,True,False,False
8.236015045830388,6.430439689362795,5.813599958487707,0.012481970624579617,8.881784197001252e-16,1.4862067603866002e-15,lmo,False,True,True,False,False,True,False
8.194822658018767,8.091819344723948,5.349574466050397,0.009082153891564507,2.1018137570293106e-15,2.063940136775644e-15,lmo,False,True,True,False,False,False,True
5.208529560784224,2.5566392625440897,1.8241222049721781,0.01031749471158389,1.5125133470951368e-15,2.0805946787878467e-15,arz,False,True,True,True,True,True,True
11.05547071982943,4.722682123984365,4.3478825338631895,0.013510273825049265,2.063940136775644e-15,2.3498992183808826e-15,arz,True,False,False,False,False,False,False
10.836127281620893,7.397390742338786,10.374835996574102,0.013862137006473981,1.3173814904902171e-15,3.462756959325817e-15,arz,False,True,False,False,False,False,False
11.708105382582403,6.207472247421407,7.345635780270404,0.007361888430029094,6.879800455918813e-16,1.6377200852866891e-15,arz,False,False,True,False,False,False,False
10.187217801535484,7.151949092851917,8.25565737749027,0.008989206620213252,2.383232787117382e-15,1.1234667099445444e-15,arz,False,True,True,False,False,False,False
7.049090778425624,6.789008388119081,3.7122012198728362,0.007404946392321032,1.0509068785146553e-15,1.5511369252661372e-15,arz,False,True,True,True,False,False,False
5.810184836387231,2.4978592478911423,2.388588558383409,0.01246831880102952,2.082963028648268e-15,1.6134562241441008e-15,arz,False,True,True,False,True,False,False
8.233424639006094,4.916106786999173,8.153008029145397,0.012495591512264849,2.808666774861361e-15,1.7763568394002505e-15,arz,False,True,True,False,False,True,False
8.19643532696488,4.792498370799253,7.191754359413197,0.007646871426361415,6.879800455918813e-16,2.6046504151038584e-15,arz,False,True,True,False,False,False,True
5.253496703715739,4.542990712924878,3.1774307105434265,0.014950756284173337,1.9459014222361975e-15,1.6134562241441008e-15,kaz,False,True,True,True,True,True,True
11.135811232931854,7.890335927909997,7.7257363575799785,0.01720567789534576,2.3498992183808826e-15,1.1234667099445444e-15,kaz,True,False,False,False,False,False,False
10.931926018605932,8.510280323296792,7.386692202714674,0.022163578541573286,2.6347629809804343e-15,8.881784197001252e-16,kaz,False,True,False,False,False,False,False
11.79865655918417,8.294485449517587,8.524479518570285,0.008855013865423108,1.9459014222361975e-15,2.1018137570293106e-15,kaz,False,False,True,False,False,False,False
10.266022295655562,7.121419220076021,8.541189083027355,0.022496663245197144,1.6377200852866891e-15,1.5888218580782547e-15,kaz,False,True,True,False,False,False,False
7.112299762694997,5.112053883113475,5.36983179240938,0.010318929833332997,1.8630587706705477e-15,2.8642893384395585e-15,kaz,False,True,True,True,False,False,False
5.842465156475376,5.011152646779495,4.0262104579105,0.011349999375760398,1.2560739669470201e-15,6.879800455918813e-16,kaz,False,True,True,False,True,False,False
8.309121824716458,7.365588088775181,5.498847380200902,0.02003061295185623,3.2994363900596664e-15,2.1390168887322674e-15,kaz,False,True,True,False,False,True,False
8.288547944016193,5.784791546820218,5.37379948636226,0.020412987976278323,1.6852000649168164e-15,1.5888218580782547e-15,kaz,False,True,True,False,False,False,True
5.185137081028097,6.754581337439733,5.570689024040492,0.011006133648641092,8.881784197001252e-16,6.879800455918813e-16,zul,False,True,True,True,True,True,True
11.054910670230196,8.880710368105971,7.481429437193455,0.010154854949877768,2.383232787117382e-15,1.3173814904902171e-15,zul,True,False,False,False,False,False,False
10.855794232426359,7.611807613788753,8.295785789210584,0.011265751775141986,1.6852000649168164e-15,1.9459014222361975e-15,zul,False,True,False,False,False,False,False
11.703589791187905,10.844272910154224,8.858234406311027,0.0064633465408427395,1.3759600911837627e-15,1.1234667099445444e-15,zul,False,False,True,False,False,False,False
10.198178848492294,8.320788593427315,7.079981962342631,0.01117231020486255,2.6347629809804343e-15,1.4321446692197793e-15,zul,False,True,True,False,False,False,False
7.036144427225577,6.913348347922723,6.616674820947293,0.005744002817505775,1.4321446692197793e-15,1.4862067603866002e-15,zul,False,True,True,True,False,False,False
5.778595366991252,9.031614169091645,4.903636561773668,0.012104359637168716,1.3759600911837627e-15,6.879800455918813e-16,zul,False,True,True,False,True,False,False
8.250250344789825,4.48532820465701,8.05379699524174,0.005744872968491785,1.191616393558691e-15,1.9459014222361975e-15,zul,False,True,True,False,False,True,False
8.208051213428195,4.707543158307824,8.283817624601113,0.005594138732979527,1.2560739669470201e-15,7.944109290391273e-16,zul,False,True,True,False,False,False,True
5.261092837205117,3.8900719253128306,3.217243145746238,0.015006394075971732,5.617333549722722e-16,6.586907452451086e-16,mar,False,True,True,True,True,True,True
10.953099796226901,12.765391867219066,11.295395048154925,0.014986022878853885,7.944109290391273e-16,7.944109290391273e-16,mar,True,False,False,False,False,False,False
10.855689314830869,11.277387555070316,10.027128703529886,0.022384320862971565,0.0,7.944109290391273e-16,mar,False,True,False,False,False,False,False
11.606872897685394,13.528416175710936,12.027981611533729,0.0067731005385831275,1.1234667099445444e-15,1.9459014222361975e-15,mar,False,False,True,False,False,False,False
10.147251450195697,11.232009318673397,9.711635593269722,0.01898807785485406,7.944109290391273e-16,1.3759600911837627e-15,mar,False,True,True,False,False,False,False
7.044521806254169,8.32899308889473,4.990643802045474,0.014552403581691194,7.944109290391273e-16,8.881784197001252e-16,mar,False,True,True,True,False,False,False
5.841378967014679,4.456757493746208,4.87551922995738,0.007575358745205941,6.879800455918813e-16,6.879800455918813e-16,mar,False,True,True,False,True,False,False
8.299631132068821,6.74963845362891,7.070172394679455,0.02191339391608551,9.729507111180987e-16,6.879800455918813e-16,mar,False,True,True,False,False,True,False
8.261862409083847,6.811613016103055,7.091083096797672,0.022335534614408653,1.3173814904902171e-15,0.0,mar,False,True,True,False,False,False,True
5.206917722393781,4.391064033198154,5.063618257112114,0.02450164703589311,1.0509068785146553e-15,5.617333549722722e-16,hye,False,True,True,True,True,True,True
11.05970286749363,9.285482760957908,9.447161658627085,0.014368261943954472,0.0,2.1018137570293106e-15,hye,True,False,False,False,False,False,False
10.862270762368933,9.84135193683872,7.6484354547904045,0.02169252421358847,2.6347629809804343e-15,7.944109290391273e-16,hye,False,True,False,False,False,False,False
11.714638214093965,9.95209863237161,10.980477992797951,0.009189246542198262,0.0,1.1234667099445444e-15,hye,False,False,True,False,False,False,False
10.19562921030734,10.231165748621876,8.080392704378644,0.017988217967708765,1.5888218580782547e-15,1.3759600911837627e-15,hye,False,True,True,False,False,False,False
7.004677867918424,8.070482542587362,8.55572396483186,0.01852379334275407,0.0,7.944109290391273e-16,hye,False,True,True,True,False,False,False
5.79512344581277,5.202104321418796,5.507318446766632,0.01915447706426586,5.617333549722722e-16,1.191616393558691e-15,hye,False,True,True,False,True,False,False
8.255874214093007,7.237664079116999,6.563577008352128,0.026851053749247573,1.1234667099445444e-15,3.9720546451956367e-16,hye,False,True,True,False,False,True,False
8.214985589036015,7.137769229171722,6.937265309292338,0.02489022479791712,5.617333549722722e-16,5.617333549722722e-16,hye,False,True,True,False,False,False,True
5.127763940343,9.311061259525978,6.063458325356055,0.014542428823547499,0.0,1.2560739669470201e-15,xho,False,True,True,True,True,True,True
10.952718959346582,15.871268321489591,12.973901716711632,0.02494712973991565,2.8642893384395585e-15,2.5121479338940403e-15,xho,True,False,False,False,False,False,False
10.825564749691548,11.544061986638036,10.078489226535241,0.017319124428336725,1.7763568394002505e-15,0.0,xho,False,True,False,False,False,False,False
11.542362514797043,18.765971842189288,15.87050300114878,0.0075384965645500625,2.7519201823675253e-15,1.7763568394002505e-15,xho,False,False,True,False,False,False,False
10.111854917900136,14.123695699245706,11.922679637175552,0.029197996789748003,2.6347629809804343e-15,2.383232787117382e-15,xho,False,True,True,False,False,False,False
6.992300579863132,10.793755585095475,4.963068135149684,0.020089620129377383,2.1018137570293106e-15,2.5121479338940403e-15,xho,False,True,True,True,False,False,False
5.726474351039016,9.970211969834159,6.920081233006345,0.009578936840416247,7.944109290391273e-16,1.820224107610997e-15,xho,False,True,True,False,True,False,False
8.051345538801387,16.7554674172512,12.951952590485027,0.019240605449996548,2.2469334198890887e-15,2.2469334198890887e-15,xho,False,True,True,False,False,True,False
8.030879372877141,15.576329879605634,12.52258186539541,0.01960329550940336,2.1018137570293106e-15,2.2469334198890887e-15,xho,False,True,True,False,False,False,True
5.205831766171636,4.129397335108271,5.728976763043752,0.017413975383038374,8.881784197001252e-16,1.6377200852866891e-15,kan,False,True,True,True,True,True,True
11.07405124895606,9.130099707180046,8.64087695256459,0.00844947596331677,1.1234667099445444e-15,7.944109290391273e-16,kan,True,False,False,False,False,False,False
10.881842715977923,8.771827905557032,6.359556228186778,0.02377849721641009,1.9459014222361975e-15,1.5888218580782547e-15,kan,False,True,False,False,False,False,False
11.719020165732214,10.11517883364603,10.640252277728372,0.005268349831532769,0.0,7.944109290391273e-16,kan,False,False,True,False,False,False,False
10.227727766637233,7.968371028911224,6.028621228333453,0.017507238855628483,8.881784197001252e-16,1.1234667099445444e-15,kan,False,True,True,False,False,False,False
7.006491485226933,9.134337568371956,7.507713778042605,0.01153498183796409,7.944109290391273e-16,1.4321446692197793e-15,kan,False,True,True,True,False,False,False
5.810706784914016,4.894476693011259,5.803756415234693,0.01755970551534396,1.0509068785146553e-15,7.944109290391273e-16,kan,False,True,True,False,True,False,False
8.267715010563455,6.691523126248811,5.8182903612274774,0.023530299843448663,1.538370149106851e-15,1.6852000649168164e-15,kan,False,True,True,False,False,True,False
8.227070739130285,6.907439933881342,5.8435724023810325,0.02073522724686174,9.729507111180987e-16,1.191616393558691e-15,kan,False,True,True,False,False,False,True
5.259407722872059,3.3598915688054545,2.061805511495465,0.015208394236690457,1.3615517350689903e-15,1.3322676295501878e-15,mya,False,True,True,True,True,True,True
11.090679806974155,7.41434489866819,9.282614404246619,0.010859831694324463,1.538370149106851e-15,1.3759600911837627e-15,mya,True,False,False,False,False,False,False
10.861129637096019,10.635386475190703,8.072255631348753,0.018756690357193347,1.1234667099445444e-15,1.3759600911837627e-15,mya,False,True,False,False,False,False,False
11.743419535713581,7.338898910670361,11.504755991904009,0.00350276170311728,2.2115464300733712e-15,1.7763568394002505e-15,mya,False,False,True,False,False,False,False
10.237243996820789,7.683024831478245,7.073999548647397,0.013652311711274052,4.050716828981884e-15,1.1234667099445444e-15,mya,False,True,True,False,False,False,False
7.081656170428926,6.547704672516022,5.0050472515753555,0.02052726811403601,1.1234667099445444e-15,9.729507111180987e-16,mya,False,True,True,True,False,False,False
5.856813832089901,3.6839938730424975,1.3922516926665527,0.011519014502038875,1.6616296724220897e-15,6.879800455918813e-16,mya,False,True,True,False,True,False,False
8.266603416537084,4.945375086953479,7.276812947414929,0.007272319872623193,5.617333549722722e-16,1.7313784796629085e-15,mya,False,True,True,False,False,True,False
8.23245688745553,4.828033914975826,6.998055971584003,0.00701845068380838,5.617333549722722e-16,1.6377200852866891e-15,mya,False,True,True,False,False,False,True
5.208669874698791,2.4456481966174595,1.4289468800569238,0.005838484939025862,1.6256334250040474e-15,1.2639000486876124e-15,jav,False,True,True,True,True,True,True
11.05271132217196,7.998604721548977,1.500052081566812,0.01753727252403229,8.881784197001252e-16,2.9790409838967277e-15,jav,True,False,False,False,False,False,False
10.847266247587507,8.186135951476285,10.744795218884462,0.021765409447027276,2.1018137570293106e-15,2.9724135207732003e-15,jav,False,True,False,False,False,False,False
11.707836497895558,8.09392366540698,2.5435764616822203,0.011200917722222077,1.1234667099445444e-15,1.4321446692197793e-15,jav,False,False,True,False,False,False,False
10.196941510619187,7.941948685543585,4.306598218492387,0.016447590321231477,2.025358414490942e-15,2.3498992183808826e-15,jav,False,True,True,False,False,False,False
7.04860664781563,8.55586643694378,3.0761425794616857,0.012723810420844547,1.5888218580782547e-15,1.7874245903380365e-15,jav,False,True,True,True,False,False,False
5.808309845868707,2.6060077395421692,2.586623947548177,0.00675175025439921,9.524652439874978e-16,9.101120538054985e-16,jav,False,True,True,False,True,False,False
