cv_rmse,test_rmse,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.82597317367217,2.7218828944298963,0.14578263639446218,0.3020799732337459,False,True,True,True,True,True,True
4.745693734498126,4.700487568531331,0.19227775301072034,0.40479286329050473,True,False,False,False,False,False,False
6.50311040881258,6.7031991108201705,0.1758419264030406,0.43120003393925416,False,True,False,False,False,False,False
5.498838285770075,5.43806611282037,0.2546933778848507,0.5036984202852279,False,False,True,False,False,False,False
4.288956194784094,4.26163430822181,0.18697122080351003,0.1675407769001051,False,True,True,False,False,False,False
4.2377075431359446,4.566741241658636,0.27056455229704135,0.618394049989034,False,True,False,True,False,False,False
4.105518100983709,4.201122537391098,0.2629204509399954,0.5666671226388571,False,False,True,True,False,False,False
3.6682741071538465,3.924358322491776,0.24005908913138535,0.52935024888413,False,True,True,True,False,False,False
3.1127969181241384,2.8716010894865187,0.08692447566127588,0.27451530083793074,False,True,False,False,True,False,False
3.0529979628353416,2.7517952624150466,0.0697164796980862,0.21898996177739735,False,False,True,False,True,False,False
3.022581503821515,2.743694867008358,0.09572460138533133,0.2741596313615072,False,True,True,False,True,False,False
5.780248088378077,6.227307880056321,0.17699195007852506,0.33627347455604156,False,True,False,False,False,True,False
5.0600877601024585,5.3319616294939856,0.2617135273225062,0.44620109122451135,False,False,True,False,False,True,False
3.888921960021169,4.048579276462691,0.17523222776904854,0.1493177896626574,False,True,True,False,False,True,False
3.058157664303946,2.8305392967153558,0.09045314747212467,0.26894756901166533,False,True,False,False,True,True,False
3.0317511646892403,2.7745291561797636,0.07324653969869953,0.22665205286377982,False,False,True,False,True,True,False
2.9544028627508054,2.7075876490397284,0.09454274975647509,0.259379721127466,False,True,True,False,True,True,False
3.717871893965614,3.539665658335926,0.16340759443888928,0.3009814901207201,False,True,False,False,False,False,True
4.514262309696342,4.556781277100287,0.2868122935145516,0.42545485320903054,False,False,True,False,False,False,True
3.311361710650125,3.1543105489657774,0.17052986106727042,0.24084018205859237,False,True,True,False,False,False,True
