cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
7.963113687276544,4.330570667101759,9.9058299543951,51.0,104.0,230.0,304.0,126.0,48.0,175.0,251.0,330.0,408.0,254.0,210.0,271.0,246.0,0.1,32.0,0.1035918279847758,0.0,0.0,ml,True,False,False,False,False,False,False
7.775848201644583,5.881140462302096,14.335778859317315,55.0,110.0,244.0,330.0,128.0,62.0,167.0,257.0,322.0,411.0,257.0,201.0,290.0,228.0,0.1,32.0,0.0429461714967279,0.0,0.0,pl,True,False,False,False,False,False,False
7.855320645191151,6.124339166629135,8.022033442146778,53.0,97.0,261.0,336.0,148.0,60.0,143.0,254.0,299.0,417.0,268.0,246.0,242.0,232.0,0.1,32.0,0.0803024753466335,0.0,0.0,ta,True,False,False,False,False,False,False
7.7591288760478205,11.633045071542538,19.27091357961376,43.0,101.0,224.0,304.0,154.0,48.0,176.0,267.0,287.0,448.0,245.0,264.0,235.0,251.0,0.1,32.0,0.0367656976296251,0.0,0.0,pt,True,False,False,False,False,False,False
7.910895223702542,4.078176709500116,19.003674257238323,51.0,98.0,234.0,309.0,127.0,51.0,174.0,247.0,321.0,414.0,253.0,248.0,269.0,217.0,0.1,32.0,0.084788193499417,0.0,0.0,jv,True,False,False,False,False,False,False
7.92824664675644,7.807772039817751,11.950598111858833,41.0,119.0,256.0,328.0,144.0,55.0,144.0,263.0,306.0,427.0,261.0,226.0,254.0,245.0,0.1,32.0,0.1060723505612455,0.0,0.0,th,True,False,False,False,False,False,False
7.73415810070986,20.451577355975825,15.384876125874204,54.0,104.0,223.0,333.0,134.0,71.0,167.0,270.0,277.0,414.0,243.0,241.0,269.0,231.0,0.1,32.0,0.0322669576198799,0.0,0.0,ms,True,False,False,False,False,False,False
7.744127614133246,10.545627133787184,21.11061620650906,55.0,103.0,226.0,340.0,151.0,42.0,155.0,240.0,343.0,451.0,276.0,228.0,230.0,216.0,0.1,32.0,0.1022755128001365,0.0,0.0,sq,True,False,False,False,False,False,False
7.720151856926468,9.190913012437877,28.61899077728243,59.0,111.0,267.0,328.0,108.0,63.0,139.0,274.0,313.0,384.0,258.0,248.0,237.0,262.0,0.1,32.0,0.0681666238866791,0.0,3.552713678800501e-15,is,True,False,False,False,False,False,False
7.903523078187748,2.478409552520885,14.746850891615136,47.0,84.0,226.0,329.0,131.0,54.0,181.0,271.0,330.0,424.0,251.0,231.0,277.0,230.0,0.1,32.0,0.066286239087417,0.0,0.0,sv,True,False,False,False,False,False,False
