cv_rmse,test_source_rmse,test_target_rmse,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
16.35389408593498,12.33149860635713,10.74438264854148,0.013637862193755722,1.7763568394002505e-15,4.4938668397781774e-15,ka,False,True,True,True,True,True,False
20.091859610745246,14.089191706349695,21.566492312986632,0.01892068001804439,3.462756959325817e-15,2.7519201823675253e-15,ka,True,False,False,False,False,False,False
18.024165045762025,14.063334939357867,18.045003828741457,0.019343300203219956,2.6347629809804343e-15,2.7519201823675253e-15,ka,False,True,True,True,False,False,False
17.12935992740345,12.599755964791925,13.88089257051576,0.017653059415599016,1.1234667099445444e-15,1.0048591735576161e-14,ka,False,True,True,False,True,False,False
17.392848746593376,12.595473591819125,14.32896053781504,0.013129340494031723,1.5888218580782547e-15,5.446206940275961e-15,ka,False,True,True,False,False,True,False
15.629911654180484,24.869326465630127,31.477801066641387,0.014856759973581135,6.355287432313019e-15,6.925513918651634e-15,hi,False,True,True,True,True,True,False
19.300766505641548,29.940560265105272,38.09199497479341,0.02027815755228644,4.4938668397781774e-15,5.503840364735051e-15,hi,True,False,False,False,False,False,False
17.04978528102142,29.15634110665909,39.17511609109529,0.016945205658630412,5.728578676879117e-15,9.532931148469528e-15,hi,False,True,True,True,False,False,False
16.14382206083405,27.044514434940048,37.28203749335307,0.016347579188217973,7.944109290391274e-15,5.503840364735051e-15,hi,False,True,True,False,True,False,False
16.814241063252503,25.630168173169004,28.797266883367723,0.01454033131633887,6.740800259667266e-15,1.0173423748423966e-14,hi,False,True,True,False,False,True,False
16.362041514334553,12.959582032119602,9.479985017166808,0.011963385310970192,2.1018137570293106e-15,2.1018137570293106e-15,sl,False,True,True,True,True,True,False
20.22472079834708,16.289523035868967,9.23023107843186,0.015299337472314703,2.2469334198890887e-15,1.3759600911837627e-15,sl,True,False,False,False,False,False,False
18.157166413127236,13.899806849608302,7.470611551627196,0.016296366002230223,1.1234667099445444e-15,1.3759600911837627e-15,sl,False,True,True,True,False,False,False
17.172843027861482,13.73064122546252,7.640879621965842,0.015381531597695465,1.7763568394002505e-15,9.729507111180987e-16,sl,False,True,True,False,True,False,False
17.46963382390847,13.202124726881431,8.043058686723754,0.01098926464936814,1.9459014222361975e-15,2.383232787117382e-15,sl,False,True,True,False,False,True,False
16.268917601495282,16.59419565949476,12.648087637287071,0.008762316539948054,3.552713678800501e-15,1.1206545235316059e-14,ta,False,True,True,True,True,True,False
20.13214406912736,20.119181517203142,13.757461194189457,0.012748885260963459,6.355287432313019e-15,7.904288942941303e-15,ta,True,False,False,False,False,False,False
17.97984552957146,18.524014096807676,16.380941561530413,0.013845954130168755,5.503840364735051e-15,7.78360568894479e-15,ta,False,True,True,True,False,False,False
16.91309782123606,19.006981865609713,19.28914582401378,0.009810880285329483,6.153480596427404e-15,1.711213510985814e-14,ta,False,True,True,False,True,False,False
17.414051432814205,16.100451081297457,8.267326497022893,0.007400648173595998,3.891802844472395e-15,3.1776437161565094e-15,ta,False,True,True,False,False,True,False
16.369761624167587,15.01975103710051,5.698869959390478,0.010524435804940517,1.9459014222361975e-15,2.8366143962925803e-15,jv,False,True,True,True,True,True,False
20.202942070472258,18.939646920484783,8.600086204206585,0.01696328010045222,3.1776437161565094e-15,1.5888218580782547e-15,jv,True,False,False,False,False,False,False
