cv_rmse,test_source_rmse,test_target_rmse,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,train_test_jsd_importance,train_test_tf_idf_importance,train_test_st_similarity_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,direction_indicator_importance,smollm_135m_score_importance,smollm_360m_score_importance,bloomz_560m_score_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
5.831057578535878,3.158293163304469,5.66636711155993,0.07555148,0.033859804,0.03829003,0.100365356,0.01437265,0.07396057,0.23121817,0.013569889,0.022622,0.01554099,0.03642288,0.013092175,0.022413615,0.0066235363,0.0069222017,0.0055741617,0.014493193,0.0042501143,0.051193275,0.19098523,0.028678637,0.0304451530280751,4100.0,0.0732069840413291,0.0566487746488184,0.0921064951314409,it,False,True,True,True,True,True,False
7.013698796077543,11.826133566321264,26.949413154643278,0.06375283,0.22087531,0.045549557,0.08074276,0.116438605,0.0942337,0.15399845,0.014800641,,,,0.07432437,0.049354337,0.012211438,0.014964903,0.013220532,0.045532558,,,,,0.0184044733145523,4300.0,0.0519336284518183,0.4239027141066673,0.2441290638846189,it,True,False,False,False,False,False,False
6.313766801543843,3.0417265302652066,8.31788246242334,0.09057918,0.072201654,0.040680304,0.0895233,0.023025878,0.0805374,0.19805488,0.01804104,0.046750143,0.029357487,0.0478963,0.039002348,0.02349978,0.010073706,0.009554335,0.006655425,0.022607736,0.0057874997,0.14617158,,,0.0181216303932232,4550.0,0.0300449660449345,0.0896113441640733,0.0839099774248696,it,False,True,True,True,False,False,False
5.780230784361836,3.4167500458917006,5.280129395984105,0.07931342,0.072511144,0.03756054,0.09676256,0.021963632,0.07632154,0.20855148,0.016423266,0.0410851,0.02243306,0.039662953,0.021094015,0.024900232,0.008595632,0.008156723,0.006746503,0.022012977,0.0060338555,,0.18987136,,0.0286862471171436,4000.0,0.0525813890453937,0.1613247869461251,0.2448235879769244,it,False,True,True,False,True,False,False
6.423347615096434,3.3495998048544906,14.092916367626202,0.052414782,0.09856524,0.031753596,0.12331325,0.029462969,0.06662259,0.13758543,0.01763258,0.058559693,0.04592992,0.06341514,0.047867417,0.040045585,0.010880133,0.009775949,0.010642689,0.029828977,0.005835604,,,0.11986847,0.0289349285000737,4350.0,0.0523668934660989,0.1354187549665978,0.6663583064156059,it,False,True,True,False,False,True,False
5.830652594533741,3.2086089729679323,6.893413027833117,0.07101335,0.03744372,0.040476196,0.09959047,0.016305603,0.07064138,0.21945576,0.013561338,0.025222361,0.017906427,0.038778,0.012777055,0.022526693,0.0068462836,0.008000571,0.005883678,0.014871378,0.003926814,0.05345155,0.19208291,0.029238438,0.0201585309211777,4300.0,0.0478452513226492,0.0907054517076958,0.1831403709257518,sv,False,True,True,True,True,True,False
7.126554803888936,3.0304600860913142,14.783152436682162,0.06204305,0.20594084,0.04765987,0.07932587,0.12179915,0.09973671,0.15371987,0.01476001,,,,0.072251305,0.04743155,0.012285304,0.016497236,0.012756305,0.0537929,,,,,0.0175349618938226,4100.0,0.0539669514857964,0.0634578213415472,0.2341264809024514,sv,True,False,False,False,False,False,False
6.367229966399105,3.729218252007352,9.451893168483444,0.09908835,0.068479635,0.04052162,0.0870688,0.023592032,0.08139354,0.2069023,0.017343473,0.04531422,0.029178381,0.04452403,0.038998228,0.024233487,0.009756738,0.009903401,0.0057167816,0.023519719,0.0049531884,0.13951215,,,0.0295458345443156,4250.0,0.0501266657276072,0.1571311606906542,0.2319896060422276,sv,False,True,True,True,False,False,False
5.737629917058824,3.3778760428214327,6.395778636665686,0.07458859,0.0677428,0.03860236,0.09562761,0.023843186,0.07411991,0.20761804,0.01679283,0.045125265,0.023472685,0.041241366,0.020949604,0.024115462,0.009126386,0.008729268,0.0070585683,0.022579063,0.00586745,,0.19279952,,0.0241681652925447,3550.0,0.0243028534355387,0.1452421404571532,0.3005768391046129,sv,False,True,True,False,True,False,False
6.513958962521583,3.8180946206050095,12.306277365729958,0.052398592,0.10265116,0.030697975,0.117882706,0.031442624,0.06610268,0.13120943,0.015957838,0.064139284,0.04456357,0.066037856,0.04738844,0.038300265,0.012270143,0.010929582,0.012871491,0.027463779,0.005735801,,,0.12195679,0.0220712573380187,4650.0,0.0549981468736798,0.1327424108467909,0.3093710742022471,sv,False,True,True,False,False,True,False
5.814413380250064,4.990764517227474,4.937785529430137,0.07175477,0.03548621,0.04052785,0.09702887,0.016976189,0.072688214,0.22558129,0.01214368,0.025926333,0.017534966,0.036033742,0.011474174,0.024936402,0.0068331175,0.0070423493,0.005841953,0.01363655,0.004676384,0.05428605,0.19218999,0.027400935,0.0247648647575975,4100.0,0.0347219492121043,0.1386658084538808,0.2343638245166111,cy,False,True,True,True,True,True,False
7.092464044085858,7.388473131601366,13.427408265880867,0.06631331,0.22436383,0.046989374,0.07837959,0.12768331,0.10029026,0.14564344,0.014667822,,,,0.08162011,0.053502344,0.013106694,0.013573764,0.012774015,0.021092083,,,,,0.0200453955695933,4200.0,0.0741407954800544,0.0993124372511672,0.5529993165512277,cy,True,False,False,False,False,False,False
6.377405182500139,5.324254642456877,7.185096317808863,0.09194602,0.06768371,0.045536652,0.08306429,0.027746558,0.07963404,0.19857055,0.016676497,0.050328188,0.03016058,0.042902857,0.046614278,0.024951965,0.010024922,0.009152489,0.006263209,0.01902465,0.006138374,0.14358017,,,0.0200801864247935,4400.0,0.0169376853386717,0.0895940031470567,0.4152064687277871,cy,False,True,True,True,False,False,False
5.770722066143565,4.970978018169006,5.575686306166224,0.07833167,0.06781623,0.039883487,0.096370906,0.02579983,0.07727777,0.20784266,0.017034683,0.044832375,0.023284128,0.035345536,0.02023452,0.02825985,0.008516947,0.007635397,0.005961626,0.01879237,0.005632776,,0.19114727,,0.0382551851010781,4050.0,0.0525689235245781,0.1526770159987432,0.3595880202387466,cy,False,True,True,False,True,False,False
6.552836488238978,4.475645487424087,6.28822703527832,0.050175555,0.09018035,0.030697266,0.115797065,0.032552734,0.06724856,0.12557065,0.01673722,0.068048075,0.051002424,0.060366727,0.06149168,0.045526795,0.011488299,0.01022658,0.011867059,0.020233428,0.009153225,,,0.12163629,0.0281966416802584,3950.0,0.0537319275961379,0.1975242997469953,0.3372711590573311,cy,False,True,True,False,False,True,False
5.732447506727747,5.954006072991125,10.470300393254613,0.07403922,0.038538482,0.038701374,0.093955114,0.018072879,0.0724378,0.22018287,0.012686593,0.026847411,0.01721698,0.039037187,0.014406608,0.023805251,0.0068252683,0.007816989,0.0057479725,0.014986573,0.0039370637,0.052190017,0.19095185,0.02761646,0.0219860995247069,3750.0,0.0620701336752084,0.0585694106002368,0.2765014662754857,is,False,True,True,True,True,True,False
6.9182047820865575,11.433250308275989,28.05385517662999,0.070015594,0.21050963,0.04479986,0.073605955,0.1264132,0.095630035,0.13786091,0.015498673,,,,0.080001935,0.049759068,0.012242505,0.016767398,0.012596095,0.054299075,,,,,0.018145216203034,3950.0,0.0832719239573812,0.1396010879475569,0.1351645324136796,is,True,False,False,False,False,False,False
6.243803998447973,5.435543555168597,12.967829298434566,0.091196045,0.07431724,0.041969318,0.08357115,0.025220567,0.07882704,0.20056967,0.016380833,0.04799195,0.028501127,0.044877775,0.044767145,0.02750822,0.009852651,0.009411405,0.0059752953,0.02479936,0.005820981,0.13844222,,,0.0240055779325728,3900.0,0.0103719325323307,0.1540568192349598,0.2686002957113811,is,False,True,True,True,False,False,False
5.678418183057683,6.109642484076497,13.219513691021636,0.07898314,0.071211904,0.0369805,0.092403606,0.024778344,0.07708989,0.20186229,0.014874141,0.044897594,0.0225165,0.0390907,0.028762039,0.026675502,0.0077485614,0.008464776,0.0060550678,0.02388816,0.0064987475,,0.18721853,,0.0236422399970383,4500.0,0.0527756656493459,0.081331388195589,0.1187639392075356,is,False,True,True,False,True,False,False
6.458133687791604,4.7077054417223305,14.712759254332903,0.05517921,0.09965335,0.03136218,0.108435296,0.0331291,0.060852967,0.12991545,0.016186241,0.06548848,0.048834063,0.066259205,0.054641735,0.040563084,0.01110846,0.011032123,0.011423141,0.029662376,0.0066136518,,,0.11965986,0.0246265313644547,3900.0,0.0699584581317403,0.0752919049882425,0.456773518795264,is,False,True,True,False,False,True,False
5.6372670420987525,12.513531860299214,22.85856125993605,0.08319612,0.031661175,0.036374174,0.09743172,0.013715176,0.073839605,0.23210534,0.012823944,0.024229994,0.016924152,0.041770183,0.010951781,0.0140814455,0.0066175857,0.005371291,0.00513797,0.014890248,0.0033028624,0.050144244,0.19785959,0.027571332,0.0275373741672714,4100.0,0.0753430113679986,0.1655994565550085,0.210936164062668,sq,False,True,True,True,True,True,False
7.110643593667251,9.841099905862194,19.56857952054529,0.066798344,0.20969383,0.047246046,0.08121231,0.13440974,0.10353954,0.1454385,0.015749853,,,,0.07252748,0.032146357,0.012854201,0.015457585,0.013294244,0.04963196,,,,,0.0163689719847804,3700.0,0.0839850419339737,0.1672505604750639,0.4740803001892773,sq,True,False,False,False,False,False,False
6.057124297356502,14.162379581038795,24.255613623748573,0.10463085,0.064558126,0.040624492,0.0814359,0.020855239,0.083512105,0.2158031,0.016719464,0.046194986,0.032727122,0.04971986,0.031176934,0.013768281,0.01033861,0.006964671,0.00722588,0.026202595,0.004504834,0.14303693,,,0.0290986367471997,4550.0,0.0635921018038415,0.0339990036754116,0.1693806853440433,sq,False,True,True,True,False,False,False
5.466755465127552,12.944606539055703,23.151189821953714,0.07941095,0.06664037,0.039751947,0.09365017,0.025828237,0.077864535,0.20973775,0.01585414,0.04316952,0.024067039,0.045783293,0.018637141,0.014318332,0.008706147,0.0063813985,0.006101369,0.020913072,0.0039968835,,0.19918773,,0.023508850190442,4000.0,0.0593282582652201,0.1299456445113622,0.1315488572839486,sq,False,True,True,False,True,False,False
6.365737912108964,11.99081536619423,23.08545275231524,0.058070384,0.09120301,0.032101635,0.12010741,0.0325246,0.067935735,0.12322724,0.015631337,0.060447853,0.051149458,0.071732,0.048119403,0.029108584,0.01219892,0.00820295,0.013525359,0.032078218,0.007207713,,,0.12542818,0.0356047717409838,3700.0,0.0434699839700761,0.1161736049058112,0.6342273125433577,sq,False,True,True,False,False,True,False
5.828969255938548,7.578407502284134,10.163820364376514,0.059660055,0.03405425,0.03733955,0.0970823,0.017245073,0.07784388,0.23150468,0.01001482,0.03773188,0.017510645,0.037084837,0.016956456,0.023613539,0.0053812624,0.0074147494,0.004735678,0.014557131,0.0036246502,0.048174836,0.19266836,0.02580134,0.0222087782068879,4400.0,0.0303253032810752,0.4935897072392709,0.2401265483186637,zh-CN,False,True,True,True,True,True,False
7.439342172766715,4.385062477017606,7.671226140093094,0.09607433,0.26936403,0.044307794,0.07387226,0.1102341,0.06864929,0.12373203,0.011581821,,,,0.068785205,0.047149815,0.011424312,0.013839418,0.009409295,0.051576346,,,,,0.0216234713446207,4350.0,0.0673725460051551,0.1509759093035323,0.5011730842353149,zh-CN,True,False,False,False,False,False,False
6.339875270828513,11.72829173981223,11.591601567673829,0.07610426,0.07402584,0.04011711,0.08791123,0.02583482,0.08467699,0.21268494,0.011322563,0.057200648,0.030729214,0.04341439,0.039864577,0.025194993,0.0081702415,0.008205468,0.0057518915,0.023656005,0.005508707,0.13962612,,,0.0282077330235156,4150.0,0.0265262157215747,1.3684252859836838,0.187788666708979,zh-CN,False,True,True,True,False,False,False
5.747188796359662,5.828890158965967,9.079248988935754,0.06321949,0.07103829,0.036504798,0.09480359,0.024342548,0.08991091,0.21176484,0.011510675,0.051197518,0.021187477,0.0371794,0.019691732,0.025589844,0.00705889,0.008627625,0.0057746125,0.020819476,0.0060797785,,0.1936985,,0.0247672353925672,4100.0,0.0160460474021488,0.3350268158833805,0.2509610839782748,zh-CN,False,True,True,False,True,False,False
6.519109452026376,9.94343835202566,10.921217974984536,0.04523302,0.08779878,0.028191611,0.1189546,0.025029108,0.08071716,0.13775256,0.011163187,0.08350309,0.044194173,0.06267912,0.05563618,0.043836564,0.008656232,0.009516057,0.009501481,0.028128555,0.0066591366,,,0.11284938,0.0306066316395323,4150.0,0.03655823015674,0.5588886060240426,0.4212900641825737,zh-CN,False,True,True,False,False,True,False
5.737750427887397,5.719397101970087,9.222246185512647,0.07230358,0.03531445,0.036977023,0.09753302,0.0147953285,0.07600494,0.23547551,0.012238928,0.024852697,0.015320706,0.03637802,0.015306565,0.02303097,0.006760606,0.0069695064,0.007606647,0.014105171,0.004540612,0.05073688,0.18687697,0.026871864,0.0283366283228719,4300.0,0.1023025131328102,0.0995255218967867,0.2447401669488294,jv,False,True,True,True,True,True,False
7.10239392327726,4.525741970077007,18.172114509379902,0.06389339,0.21607137,0.04647327,0.07832716,0.12430499,0.09865986,0.14253259,0.014815794,,,,0.070702106,0.05098046,0.01123398,0.017093226,0.014136289,0.0507755,,,,,0.0279751658983068,3850.0,0.0549622930406473,0.40377811983064,0.1533915587345968,jv,True,False,False,False,False,False,False
6.232827644028636,8.489842073395517,12.780187168353477,0.09814209,0.06499029,0.04174534,0.08507314,0.022971913,0.079463735,0.19987342,0.0168856,0.047427922,0.030229539,0.04712308,0.04256205,0.024680313,0.009821356,0.009004376,0.0077046067,0.021363322,0.004995062,0.14594287,,,0.021081069143836,4050.0,0.0402083196993562,0.1786704303143025,0.4147421474008791,jv,False,True,True,True,False,False,False
5.720319803760511,5.64331442341832,8.795379732400495,0.07646889,0.0746906,0.038653437,0.09418093,0.022927258,0.07836684,0.20121352,0.015123633,0.044105858,0.022264931,0.042250376,0.018834813,0.025586864,0.008082385,0.008040639,0.008946368,0.022641229,0.0053669354,,0.1922545,,0.0241514112266738,4500.0,0.0613018829420801,0.1259246720488834,0.2758659019768933,jv,False,True,True,False,True,False,False
6.39894853947521,8.28085169183906,14.481976745104037,0.05017663,0.094145425,0.030051494,0.11217189,0.030529857,0.06484537,0.14200467,0.015563491,0.06137953,0.045921363,0.06649099,0.047632296,0.047821045,0.011168715,0.010235554,0.015185173,0.026557285,0.006245401,,,0.121873856,0.0248253911784911,4400.0,0.0792695861681436,0.2222341479891619,0.1095729135277413,jv,False,True,True,False,False,True,False
5.90940955089166,2.9802961403692096,5.06114790700387,0.06719464,0.034924664,0.0380386,0.10139014,0.016332887,0.07177099,0.21881907,0.013407526,0.02380853,0.017417502,0.039851945,0.013942895,0.02347057,0.0066230134,0.0076782578,0.005840499,0.013920222,0.004566011,0.0539914,0.19661371,0.030396972,0.0179570585312202,4550.0,0.0500790989958555,0.0780996291496922,0.2217392712782654,pt,False,True,True,True,True,True,False
6.948755737967882,8.111275347817948,19.952276699429824,0.06511288,0.21834786,0.04672689,0.0863317,0.11539705,0.094556555,0.14686994,0.0142978905,,,,0.0720273,0.049327333,0.011774683,0.0155291855,0.012586201,0.05111458,,,,,0.0201877712739094,4000.0,0.0262838928669682,0.2089431548822202,0.3978962979633493,pt,True,False,False,False,False,False,False
6.37812937506177,3.331278626135762,6.115950670941956,0.09370945,0.06936013,0.04147485,0.08737989,0.02110291,0.07892026,0.21460664,0.017317219,0.044716693,0.02775015,0.04592169,0.034674305,0.025575351,0.010529107,0.009093963,0.00675081,0.0226226,0.0057298704,0.14276415,,,0.0272851976275453,4350.0,0.0551208245080544,0.1174705457632517,0.170204469974418,pt,False,True,True,True,False,False,False
5.803671388181334,2.9490227369657283,5.543079645317573,0.075515375,0.071834184,0.036932874,0.10029577,0.023009047,0.075316794,0.20927557,0.015171875,0.041396312,0.021139149,0.039776526,0.020590026,0.026228735,0.008038834,0.008535918,0.0067246566,0.020923182,0.0056156046,,0.19367957,,0.0267004202534474,3950.0,0.0518879818953146,0.0978839351540502,0.2037913759027968,pt,False,True,True,False,True,False,False
6.543393179578447,3.360753486707586,6.067315942964443,0.053086936,0.091926016,0.03092539,0.12330668,0.0306631,0.06585302,0.13646379,0.015595898,0.056900673,0.047762834,0.06334762,0.054020174,0.04392249,0.011466654,0.010326296,0.011569515,0.026353765,0.007352493,,,0.11915667,0.0360511028807484,3800.0,0.0254241913657096,0.1769397903451925,0.2294605255394027,pt,False,True,True,False,False,True,False
5.769933265702971,6.896243731992061,6.852369129057405,0.070906565,0.0403315,0.038184665,0.09153172,0.01884067,0.0752625,0.21266422,0.0128803905,0.026011288,0.015106621,0.039213717,0.01263506,0.024562921,0.00728467,0.007119025,0.005610484,0.0142161595,0.0047321375,0.05656867,0.201412,0.024924977,0.0245268098915119,4450.0,0.0826968215281296,0.0940857273664362,0.1556033543572225,ta,False,True,True,True,True,True,False
7.090752387545139,5.87869439159301,7.728054225668508,0.06574838,0.20325801,0.045906078,0.08000319,0.12965277,0.09644453,0.1424644,0.015580924,,,,0.0728726,0.05235806,0.013180311,0.016168091,0.01227331,0.054089338,,,,,0.019048576004422,4000.0,0.0780292700429503,0.1663801792207728,0.6437259306528482,ta,True,False,False,False,False,False,False
6.305070976909773,6.82675799327586,5.8158656875173405,0.08936637,0.08321935,0.041904576,0.07375498,0.02813311,0.08052986,0.18853554,0.017007364,0.048500046,0.0300951,0.048108425,0.041163143,0.023833383,0.010007448,0.009669816,0.006213295,0.021091068,0.006228569,0.15263852,,,0.017533872799273,4500.0,0.0413636130634517,0.1793073626849064,0.2838927556422468,ta,False,True,True,True,False,False,False
5.71418566947867,7.118114983672361,5.274944218672861,0.07328822,0.07621863,0.03536933,0.08983395,0.02688517,0.080194496,0.1992401,0.014730992,0.042896103,0.022081556,0.042331684,0.019328134,0.025732804,0.00904489,0.008411533,0.0058138175,0.020112116,0.005919529,,0.20256694,,0.0259940050298603,3950.0,0.0567203752562874,0.2045734137164718,0.2094993328393658,ta,False,True,True,False,True,False,False
6.5269705738697565,7.810592915466204,10.696983231445753,0.051555805,0.09613551,0.029666781,0.11063931,0.033539593,0.06375884,0.13168901,0.016638435,0.06047966,0.045702785,0.06975158,0.055785887,0.045376576,0.01194304,0.010812337,0.011441991,0.026702752,0.0062755593,,,0.12210454,0.0306119687889368,3500.0,0.0573680383597624,0.1379514656009752,0.8408961779789456,ta,False,True,True,False,False,True,False
5.722638604083246,13.608787119797933,14.857688347283965,0.07112356,0.031123172,0.04051185,0.09480162,0.015965533,0.07321154,0.23487282,0.012136562,0.024913177,0.015959203,0.032877307,0.012444452,0.035113327,0.0064358837,0.008393971,0.0052216514,0.013299601,0.0039334255,0.049855426,0.19196966,0.025836313,0.0330759910526867,3900.0,0.0681153890015688,0.4413113661296083,0.4319251481509589,ms,False,True,True,True,True,True,False
