cv_rmse,test_source_rmse,test_target_rmse,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
8.287179916618978,7.711915204333371,4.155624295319495,0.008957082785064543,9.729507111180987e-16,1.9459014222361975e-15,ka,False,True,True,True,True,True,False
9.91985395514343,8.192895908114068,8.243545747806394,0.009868240703446317,1.1234667099445444e-15,1.5888218580782547e-15,ka,True,False,False,False,False,False,False
8.881988004687821,7.666580991581,7.1880570435627815,0.01147357511926546,1.3759600911837627e-15,2.8642893384395585e-15,ka,False,True,True,True,False,False,False
8.7503032919936,7.945574866883019,5.852569413159849,0.00966350377164084,1.191616393558691e-15,3.747228857827342e-15,ka,False,True,True,False,True,False,False
8.569132054419928,7.705333037283099,5.108590840784789,0.009589128099737049,9.729507111180987e-16,1.820224107610997e-15,ka,False,True,True,False,False,True,False
8.175029104111823,7.202089577772041,10.577711379641624,0.008707217516503486,5.617333549722722e-16,3.370400129833633e-15,hi,False,True,True,True,True,True,False
9.811381363800752,9.154009239206928,13.525568063791265,0.008432000799845072,7.944109290391273e-16,2.6347629809804343e-15,hi,True,False,False,False,False,False,False
8.701662169880079,7.8565013466521165,14.650721077251557,0.00913643593246783,1.3759600911837627e-15,2.2469334198890887e-15,hi,False,True,True,True,False,False,False
8.58894801360228,7.709581157504823,13.683753692840991,0.008661428112695168,1.3173814904902171e-15,4.127880273551288e-15,hi,False,True,True,False,True,False,False
8.496042520991537,7.332831227239874,9.64829108257247,0.007403628124906467,1.6377200852866891e-15,3.370400129833633e-15,hi,False,True,True,False,False,True,False
8.289359924062726,7.557961783654633,2.993670607350124,0.006154869243297908,1.0509068785146553e-15,1.3173814904902171e-15,sl,False,True,True,True,True,True,False
9.94734676563182,9.71020884589537,3.572460981306347,0.007044424567780976,7.944109290391273e-16,1.012679207245471e-15,sl,True,False,False,False,False,False,False
8.915496169731071,8.231405944854776,2.8152399394085657,0.007214556715299441,1.1234667099445444e-15,7.691850745534255e-16,sl,False,True,True,True,False,False,False
8.768998634023864,8.103659077159458,2.9013868071393953,0.006061565274901196,7.944109290391273e-16,1.012679207245471e-15,sl,False,True,True,False,True,False,False
8.584231608515157,7.701157034187472,2.7010396549621456,0.0068092154262577404,1.2560739669470201e-15,5.254534392573277e-16,sl,False,True,True,False,False,True,False
8.283493917513848,7.248342173454077,3.520212899075313,0.006383583218120348,7.944109290391273e-16,3.96211206478289e-15,ta,False,True,True,True,True,True,False
9.975742859360592,8.856342322753484,2.1872423650336925,0.005650396356731435,7.944109290391273e-16,2.2469334198890887e-15,ta,True,False,False,False,False,False,False
8.904436483118328,8.332501633551043,3.4919358181696354,0.006573055358331899,1.9459014222361975e-15,3.1212869428297514e-15,ta,False,True,True,True,False,False,False
8.75634130157386,8.18975163435561,3.8104556030733114,0.005720537220551716,1.9459014222361975e-15,4.418631847554177e-15,ta,False,True,True,False,True,False,False
8.55062845112337,7.362888158534455,5.400833456119819,0.006917875589532415,1.5888218580782547e-15,2.5121479338940403e-15,ta,False,True,True,False,False,True,False
7.927302051311791,7.525409072720194,19.372533234083498,0.00423006868838815,1.3759600911837627e-15,6.153480596427404e-15,jv,False,True,True,True,True,True,False
9.630751924933799,9.034343770071818,19.89504272812929,0.002775975337648622,2.5121479338940403e-15,4.766465574234764e-15,jv,True,False,False,False,False,False,False
