cv_rmse,test_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,learning_rate,num_leaves,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
3.4456297012531207,3.4578503263872746,98.8,6.2,12.2,26.4,19.8,13.2,3.6,3.2,26.0,27.2,20.0,25.8,57.0,19.2,45.6,28.4,42.0,24.0,27.4,33.6,31.0,63.0,46.2,41.0,67.2,60.2,36.4,65.6,63.4,36.6,57.6,66.8,48.6,3.2,179.2,71.6,174.0,85.6,0.13999999999999999,19.2,0.03219384129692568,0.2799260548064943,False,True,True,True,True,True,True
8.034356335671664,7.879240910726726,134.2,41.6,69.6,84.0,83.4,45.4,5.6,,,79.2,38.4,165.6,197.6,90.6,318.0,87.6,219.0,201.8,95.6,62.6,215.8,118.2,210.2,296.0,,,,,,,,,,,,,,,0.13999999999999999,38.4,0.3077731874811647,0.6490986292789671,True,False,False,False,False,False,False
