cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dataset_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft,dev_size_importance,test_size_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance
8.18699551267091,8.053461859414764,6.056673087491708,0.42830363,0.07499181,0.02924348,0.029711181,0.028776497,0.015709378,0.02526784,0.033292186,0.01840028,0.025457311,0.03355341,0.01802346,0.020202044,0.020976273,0.02924937,0.06354668,0.019016648,0.014986913,0.019310523,0.011601557,0.013319363,0.027060196,0.0203381184891271,3000.0,0.0294457908359854,0.6646766248977803,0.6192270006008095,cym,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,
4.082623754951568,10.846016292293562,15.081357534178542,0.02104686,0.007019629,0.0041332627,0.0062493854,0.005045307,0.0045083975,0.019220166,0.013955285,0.011677109,0.0076476624,0.013050208,0.005611948,0.0055973167,0.020211577,0.013084397,0.006465075,0.008839583,0.0056562694,0.0055538444,0.007617379,0.0041482914,0.0032720945,0.0318417299973035,3600.0,0.0130699404289218,0.1816478791210173,0.3461801283258772,cym,False,True,True,True,True,True,True,0.0041853897,0.0050720754,0.0066234036,0.012986508,0.007200214,0.009252568,0.008612621,0.0027720854,0.007874666,0.024165332,0.004322764,0.0056238007,0.12788625,0.026253125,0.5039576,0.04360047
8.347524037301515,13.110896009189872,11.162200994679118,,,,,,,0.051969588,0.03342874,0.028792601,0.019305358,0.039520882,0.0359454,0.04307736,0.03677119,0.019018374,0.05872771,0.021458752,0.03575027,0.019593257,0.01972602,0.01126458,0.019589163,0.019990341887555,3700.0,0.0148093609412701,0.3851001400220232,0.3823777606089657,cym,False,True,False,False,False,False,False,0.013096353,0.037384998,0.04534637,0.16696867,0.021190133,0.019490946,0.036047757,0.036267202,0.052719813,0.040061977,0.034289576,0.003196933,,,,
11.214125364234471,21.07775428939035,11.194279475127312,0.575606,0.124526225,0.08881257,0.08796576,0.068141624,0.054947842,,,,,,,,,,,,,,,,,0.0168131576953871,2800.0,0.0006907340418373,0.4490969103188971,0.2379847413453965,cym,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,
7.055696638421736,13.703990878537562,11.100329115106764,0.31241792,0.05116588,0.017774735,0.01682121,0.016667992,0.020638581,0.018428102,0.025445651,0.015607509,0.013742303,0.017338544,0.0262925,0.022088576,0.019992929,0.016262207,0.047130536,0.011481477,0.010976096,0.00912443,0.009353144,0.009150833,0.011261174,0.0304784222610821,3050.0,0.0259247159734437,0.4398559692302758,0.6009643286268392,cym,False,True,True,False,False,False,False,0.014085835,0.016380493,0.01536133,0.09949799,0.012017077,0.0061723357,0.020806259,0.019006442,0.020800602,0.03298981,0.021633785,0.0020856594,,,,
6.079426387519877,6.139498179123079,15.252163038146852,,,,,,,0.04163708,0.025073737,0.008635084,0.014550781,0.029579416,0.019597193,0.020886198,0.037992515,0.024879644,0.019331675,0.023705851,0.015956394,0.00964586,0.0285182,0.008563798,0.0106411055,0.0277448458578514,3200.0,0.022400303386772,0.3481911199682033,0.8755985326941539,cym,False,True,False,True,False,False,False,0.020660397,0.014928199,0.014161791,0.06988461,0.022850309,0.017415242,0.020169502,0.016117249,0.029971724,0.019648338,0.017130103,0.004537525,0.3933305,,,
7.295252085931024,9.474255318371714,6.890209698608163,0.31410795,0.086762145,0.06991133,0.06965832,0.04970718,0.06419259,,,,,,,,,,,,,,,,,0.0100194370880122,2000.0,0.0153666870141033,0.1680947477667443,0.2477077049233469,cym,False,False,True,True,False,False,False,,,,,,,,,,,,,0.3456605,,,
5.469469954295404,5.3749273322713,13.171139289939893,0.18867724,0.028982263,0.015087617,0.020932743,0.012127461,0.0077308402,0.024360457,0.020739254,0.004526293,0.012527165,0.0144483745,0.014466697,0.013120773,0.03481188,0.020244325,0.014647497,0.016665716,0.009971686,0.005349475,0.0142863635,0.006547363,0.0070825396,0.0365072139414588,3300.0,0.0254697554713854,1.188108978304158,0.8404792666159511,cym,False,True,True,True,False,False,False,0.011551155,0.01000881,0.010275766,0.051196165,0.017264202,0.017059643,0.0117247645,0.008149564,0.013494479,0.016940366,0.01040968,0.002911827,0.31167957,,,
4.63026771302107,12.32625072229796,14.040517518607045,,,,,,,0.025414292,0.021181017,0.03046501,0.011366439,0.017609349,0.018597977,0.015986701,0.020591393,0.0145541895,0.01661239,0.01539202,0.015677491,0.008539705,0.017362844,0.010665534,0.010084899,0.0135613784958094,3750.0,0.0202973993123881,0.2679872842796761,0.1944846789050779,cym,False,True,False,False,True,False,False,0.0072129956,0.016238682,0.015067449,0.0701717,0.01306198,0.009578342,0.009883188,0.016552282,0.014918913,0.029601013,0.00993128,0.007445927,,,0.510235,
5.540074764595774,11.449737422529545,13.754012796967862,0.25721437,0.071928844,0.056139328,0.04834628,0.03789188,0.035098467,,,,,,,,,,,,,,,,,0.0100194370880122,2000.0,0.0092168973539879,0.1363011557978938,0.256091099599587,cym,False,False,True,False,True,False,False,,,,,,,,,,,,,,,0.49338087,
