cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
3.039396963402498,3.656365647125709,3.113327590519665,0.04008664,0.017437361,0.00702135,0.011988597,0.006079904,0.010019401,0.011787342,0.023955345,0.0066635893,0.013108392,0.07185431,0.007257675,0.012199985,0.0062768892,0.004800732,0.012905002,0.006516845,0.005116187,0.006991466,0.009257656,0.0045710816,0.018611075,0.0036389444,0.003046392,0.011249752,0.0064546466,0.005142237,0.01563576,0.006147267,0.0037504688,0.0075409114,0.010274449,0.004431864,0.011225289,0.12883836,0.054562192,0.3454797,0.06807501,0.0187943888688495,3800.0,0.027404037992075,0.0758637792880155,0.1404719953788854,mar,False,True,True,True,True,True,True
7.408363537903885,10.68185921386529,10.30611015917649,0.035776176,0.27300212,0.065050736,0.11050606,0.031029603,0.02873711,0.020138847,,,0.028554237,0.040883966,0.032030262,0.031890005,0.025869142,0.025540594,0.026181743,0.026329458,0.044737913,0.027463228,0.03141517,0.029586669,0.024453068,0.016914595,0.0239093,,,,,,,,,,,,,,,0.0130512697693696,4100.0,0.0658467056338561,0.2364317425706799,0.345407383732833,mar,True,False,False,False,False,False,False
6.427986526755911,8.78357165198481,8.456046341425383,0.047053885,,,,,,,0.028515343,0.038909074,0.027779082,0.057188164,0.024631256,0.031022921,0.051841892,0.035748452,0.035172306,0.024060493,0.03300613,0.02819694,0.045182567,0.031967342,0.026231349,0.014452095,0.019050438,0.040433608,0.10516162,0.024461893,0.039276063,0.05016433,0.0237643,0.037826262,0.02818286,0.032272168,0.018447196,,,,,0.0167055719510558,3900.0,0.0383686260353559,0.0865022459315483,0.1348016584300402,mar,False,True,False,False,False,False,False
10.919730676176377,15.04492858943595,10.225122427146848,,0.19763455,0.1450172,0.18680836,0.16854122,0.1546348,0.14736386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0466109927040934,3150.0,0.0315152432086558,0.9103965668700325,0.1459060144676748,mar,False,False,True,False,False,False,False
5.931041624270757,9.39600164383653,8.669066120842874,0.023188692,0.22841677,0.040654283,0.07272818,0.019168692,0.019203309,0.014548115,0.020233333,0.024638593,0.020161327,0.028645452,0.015777046,0.018823545,0.02375197,0.021219093,0.01611924,0.014383813,0.023971515,0.015450211,0.027836466,0.016836375,0.022550816,0.009308254,0.0131131355,0.018619806,0.070494995,0.017176706,0.020322045,0.03290963,0.01234316,0.018453237,0.021561118,0.01996003,0.01743104,,,,,0.0189902717314373,4050.0,0.0525290007801946,0.2430903210861799,0.1146414730138337,mar,False,True,True,False,False,False,False
4.432681387947243,7.150882047753546,3.152450936879552,0.043759294,0.14492428,0.029907033,0.06439127,0.013616286,0.010369978,0.009939442,0.009531798,0.016018756,0.027190786,0.034526486,0.012241373,0.016721891,0.016003393,0.0123316,0.013362627,0.012817116,0.010884112,0.011176659,0.012486616,0.011115588,0.020620232,0.008045277,0.008668479,0.011960072,0.039442696,0.014781682,0.033896483,0.01257658,0.006647053,0.016187822,0.017445331,0.011378499,0.022489745,0.2425437,,,,0.0164795211148301,4000.0,0.0366712555444573,0.1498443190855418,0.1340653563117421,mar,False,True,True,True,False,False,False
3.7445968097965,5.143516245474582,5.421607680438065,0.025036326,0.102103926,0.027651992,0.061019212,0.010032654,0.010576902,0.012574794,0.0387652,0.010060745,0.017515626,0.15989436,0.009725458,0.014906818,0.013848578,0.009225535,0.01334705,0.0074322103,0.014247792,0.009242308,0.0152438255,0.0077725453,0.015504399,0.0062089143,0.005469381,0.012532552,0.037265554,0.007645259,0.016603164,0.01341905,0.005789772,0.009753063,0.018429581,0.012510372,0.0077517494,,,0.24089332,,0.0217974296231721,4500.0,0.024930200976704,0.0331164543353788,0.1441489533612996,mar,False,True,True,False,True,False,False
5.098924572521038,5.626241380182289,6.29821604333947,0.022030361,0.11870755,0.02509183,0.04020085,0.013086611,0.014291206,0.016072739,0.025316823,0.01169988,0.024145063,0.02286996,0.010388749,0.020911952,0.033815462,0.015402433,0.017642662,0.013251485,0.019076448,0.017151125,0.05123827,0.009510262,0.029195076,0.010374064,0.013349297,0.01932115,0.06656669,0.011087855,0.021927988,0.021655714,0.012480861,0.021729376,0.045636516,0.017364133,0.014657712,,0.15275183,,,0.0224513560683919,4050.0,0.0490378484001008,0.2196562852501322,0.1998543371900201,mar,False,True,True,False,False,True,False
5.043784694188583,5.465985484240355,5.758851499086771,0.020830411,0.10462376,0.025412321,0.042433262,0.0135317175,0.013243781,0.018519867,0.026392344,0.01299342,0.025651872,0.030123943,0.009701494,0.022571815,0.033263527,0.016226772,0.018303502,0.012139087,0.022411516,0.018007353,0.047553204,0.009164131,0.031884007,0.010201143,0.013016986,0.019252371,0.065253995,0.011180026,0.021844462,0.021596283,0.012519276,0.019063722,0.044524293,0.016539546,0.0156074,,,,0.15441737,0.0191646378190964,3900.0,0.0432818106878406,0.1345914025354478,0.0700247509982759,mar,False,True,True,False,False,False,True
2.9862028103728413,3.4835979313501357,1.2210439274063392,0.048310846,0.016568637,0.0067116963,0.014800319,0.0059837936,0.007269704,0.013352461,0.016795378,0.0062254034,0.013380369,0.06672403,0.0069309534,0.012406941,0.0057669086,0.004819327,0.012563331,0.005991247,0.0039386703,0.0064668553,0.009783137,0.0040213056,0.016911753,0.003128762,0.002574623,0.009865645,0.0064280285,0.0043896544,0.015824607,0.0053203665,0.0036479165,0.008662305,0.009404911,0.0037385717,0.010952611,0.13692506,0.055540323,0.35578078,0.06209272,0.0201292801022156,4600.0,0.0409102709320271,0.1927497448582704,0.5420611496168393,wol,False,True,True,True,True,True,True
