cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.2074583577115416,3.074240483836789,3.6912987816683303,0.02156077,0.07183097,0.004816639,0.06709299,0.019987896,0.01318827,0.0045333165,0.010103601,0.010587364,0.0067559644,0.013249871,0.008679409,0.0036085646,0.005623183,0.0058016004,0.025057668,0.0048008324,0.01079785,0.013892278,0.0040950435,0.008446449,0.18903963,0.01403493,0.0070757614,0.02609987,0.08558712,0.0096613215,0.19055775,0.14343302,0.0411112548798239,1960.0,0.0563613372521113,0.1629941807844513,0.2722827225514077,bew,False,True,True,True,True,True,True
2.147426575246807,5.047256605865624,7.64021031083074,0.061174493,0.17013076,0.016633665,0.1904073,0.0683482,0.06859319,0.052294426,0.011311797,0.05577947,0.05783208,0.03616364,0.03983324,0.031048972,0.02237082,0.047798496,0.070279434,,,,,,,,,,,,,,0.0321694851105612,900.0,0.0751079529323952,0.3089214586634965,0.3458020630528766,bew,True,False,False,False,False,False,False
6.781664860242396,6.223415409693533,6.376159412843504,0.021231601,,,,,,,0.0133190695,0.041219138,0.04375665,0.024739891,0.03108598,0.04773991,0.020947754,0.019104373,0.037893735,0.022334823,0.05651651,0.09242419,0.01451691,0.029401299,0.23627749,0.026098933,0.0420375,0.17935428,,,,,0.0167369394111021,140.0,0.0395263124322146,0.0891020354269175,0.1676710964598078,bew,False,True,False,False,False,False,False
4.279555699078708,5.231167604428032,6.407315933212429,,0.23651993,0.08202509,0.26986423,0.13370763,0.14257203,0.13531107,,,,,,,,,,,,,,,,,,,,,,,0.0349567155474479,620.0,0.0443240561978203,0.2777132983397847,0.6140645158486135,bew,False,False,True,False,False,False,False
2.1392303505701777,4.92228393815662,6.23347202932606,0.046892054,0.079432845,0.01055385,0.09637072,0.022307066,0.03461463,0.020165378,0.005755064,0.022252843,0.020746335,0.024087122,0.01824883,0.014835788,0.01783089,0.029899115,0.05622559,0.012081636,0.04048655,0.032069422,0.0033355027,0.009414738,0.30438837,0.007089013,0.010456743,0.060459875,,,,,0.0165648604772087,1400.0,0.093742055598672,0.125345797839064,0.2802755941648432,bew,False,True,True,False,False,False,False
3.818317290386299,4.93201710373288,4.371670399946461,0.026793852,,,,,,,0.020101774,0.03250836,0.024710208,0.02293479,0.028888995,0.050473254,0.029379984,0.018673168,0.040634558,0.024465313,0.03809918,0.06061126,0.01571562,0.016329689,0.31072772,0.028644204,0.028387556,0.07841615,0.103504404,,,,0.0376733029555522,1100.0,0.1409386771567444,0.0615330274932854,0.1225960605793807,bew,False,True,False,True,False,False,False
2.9537985572556726,4.270357893117263,5.650517663440392,,0.18687968,0.026540156,0.23750958,0.09273536,0.10134723,0.07932673,,,,,,,,,,,,,,,,,,,0.2756613,,,,0.0244113326318087,440.0,0.059997394480053,0.2979482565238721,0.262627988738658,bew,False,False,True,True,False,False,False
2.248574264661316,4.387231813440453,5.356351396240049,0.034214802,0.08644817,0.010059802,0.1011804,0.025276968,0.03270242,0.01767004,0.008654555,0.025256082,0.027092855,0.015003413,0.023738464,0.009247178,0.011087554,0.014446849,0.029426914,0.009026747,0.02283823,0.03644986,0.0046385652,0.007118034,0.23836093,0.012441224,0.011478908,0.05848231,0.12765872,,,,0.0371854038675348,920.0,0.0611992489466606,0.299350975901776,0.5418501232709653,bew,False,True,True,True,False,False,False
3.454258473101393,2.570783090233339,2.8934747764190925,0.019802269,,,,,,,0.018596912,0.029600348,0.02829031,0.020210396,0.022877866,0.020069623,0.015468983,0.017509283,0.04760879,0.015154043,0.057897814,0.0589285,0.011790657,0.021238843,0.2825462,0.024339423,0.023891702,0.096761,,,0.16741702,,0.0282341285824644,560.0,0.1481435569206132,0.0397799482590795,0.0652218600348622,bew,False,True,False,False,True,False,False
3.014778898111326,2.9699866444484626,3.7262433461316222,,0.17820324,0.03472198,0.21558161,0.07760764,0.10301174,0.08080664,,,,,,,,,,,,,,,,,,,,,0.31006712,,0.0147782686721158,1060.0,0.0651005566436968,0.0873044924635903,0.1358822541233725,bew,False,False,True,False,True,False,False
2.259097516724452,3.692733280410566,4.193595178549384,0.033199243,0.05630704,0.007979418,0.07353041,0.019351011,0.027152058,0.016789122,0.008714101,0.01972435,0.022721045,0.01678121,0.009130369,0.008433842,0.0072508864,0.010754648,0.041740753,0.006597058,0.021007996,0.028436026,0.0036657706,0.009607658,0.32275993,0.010947147,0.008521334,0.07920634,,,0.12969121,,0.0313915565896483,1120.0,0.0745405596237401,0.2105402954168961,0.6507534459284933,bew,False,True,True,False,True,False,False
3.246526837194969,12.663289760664426,4.916704509579477,0.028798824,,,,,,,0.019247238,0.046933793,0.052779235,0.02531664,0.056724958,0.041803963,0.020925052,0.018307116,0.048785992,0.02736628,0.052823342,0.059883066,0.017003095,0.021649461,0.23447117,0.029270072,0.024840202,0.101946935,,0.071123585,,,0.0971083073276119,1720.0,0.1101488073162925,0.2874168280366238,0.5452823693108955,bew,False,True,False,False,False,True,False
4.053278555780702,4.908635940810738,7.46039309146848,,0.21768638,0.06831993,0.24828073,0.1237432,0.1312251,0.09527184,,,,,,,,,,,,,,,,,,,,0.115472816,,,0.0560457757507089,1040.0,0.0751857971550263,0.2571008672879048,1.288918204659547,bew,False,False,True,False,False,True,False
2.192662674816167,4.955387269914977,5.74927198220208,0.04724253,0.08330769,0.010294453,0.08899696,0.019350857,0.032249458,0.01718541,0.00569675,0.019354355,0.027652722,0.020485023,0.011844856,0.01130199,0.01773714,0.021145375,0.048155386,0.010605982,0.035945065,0.030406639,0.0025457575,0.007281159,0.31698865,0.0071531786,0.008752512,0.07635558,,0.021964476,,,0.0293175165607994,1160.0,0.0772141712212049,0.123187029958023,0.1391324633893533,bew,False,True,True,False,False,True,False
