cv_rmse,test_source_rmse,test_target_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_comet_mean_importance,small100_noft_comet_mean_importance,small100_ft_comet_mean_importance,m2m100_noft_comet_mean_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
0.0268026319679014,0.0270285344294566,0.0239210233247983,0.06634649,0.007149315,0.0068861498,0.008359562,0.0038823853,0.005379985,0.003028192,0.0061038514,0.0036077774,0.008663671,0.15051794,0.0066288607,0.030162763,0.0112059135,0.0050417655,0.012417579,0.0061205323,0.0035219793,0.007204844,0.011517097,0.00448135,0.027306417,0.0027604336,0.0021321783,0.014272508,0.0046326024,0.0033445521,0.022395704,0.0044272533,0.0024855402,0.008178649,0.007883819,0.0033531762,0.009530788,0.07890512,0.055330716,0.31858736,0.06624518,0.0377900638490803,4400.0,0.0003862957264323,0.0016994329426792,0.0007987750599659,som,False,True,True,True,True,True,True
0.0646851311553888,0.1675789494595174,0.0768176306862727,0.044005446,0.078306824,0.039291114,0.106684685,0.04806616,0.040973365,0.07577853,,,0.04082787,0.030128801,0.042772572,0.052542638,0.0388587,0.044353746,0.028726738,0.033505972,0.031567503,0.049339034,0.048424177,0.03634815,0.053008784,0.016635735,0.019853402,,,,,,,,,,,,,,,0.0582690843567672,4200.0,0.0007777945573749,0.004590070186115,0.0041837317104628,som,True,False,False,False,False,False,False
0.0592871218661601,0.1968522361189099,0.0607818191451524,0.033716854,,,,,,,0.030680249,0.032572106,0.0367125,0.07755845,0.027551536,0.033608705,0.043467544,0.049585156,0.04122482,0.021189088,0.022092845,0.035858635,0.03642201,0.03823892,0.041285653,0.012677605,0.012789907,0.029879216,0.06852343,0.02233785,0.052663423,0.06526901,0.014062695,0.037539296,0.027999109,0.023785759,0.030707628,,,,,0.0446065203397002,4200.0,0.0006250931323528,0.0069687664743037,0.0022181364592383,som,False,True,False,False,False,False,False
0.1181699372555214,0.1763346433635732,0.1045250927362267,,0.13793448,0.14915337,0.19706993,0.17662859,0.15319571,0.18601795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0398822602813975,3500.0,0.0001956917768873,0.0099855137651539,0.005737493975668,som,False,False,True,False,False,False,False
0.055061661914838,0.1690288786424088,0.0604612555528606,0.023387883,0.053842634,0.023390299,0.07606006,0.02176622,0.021393914,0.038790625,0.027042065,0.023191571,0.027060037,0.046172947,0.025696814,0.022293841,0.034549646,0.039481916,0.021913413,0.01815234,0.015850443,0.021987077,0.0332286,0.023579132,0.046656735,0.008426734,0.00906301,0.01908426,0.057709444,0.01599795,0.040343925,0.047000635,0.009688553,0.021845853,0.023261724,0.016800642,0.04528906,,,,,0.0540418538098548,3950.0,0.000668376301041,0.003287010128078,0.0060705608457574,som,False,True,True,False,False,False,False
0.0463071863563955,0.1617985829185586,0.0464161868480756,0.057825636,0.06868029,0.01784747,0.081631556,0.01816969,0.013621566,0.012887363,0.010019339,0.014733149,0.028541768,0.08146767,0.016980061,0.01655843,0.034286626,0.024015894,0.01804103,0.023841027,0.007538528,0.015168488,0.023498837,0.01617762,0.057378948,0.006237111,0.0068378383,0.01890355,0.029294645,0.017643765,0.040865637,0.018160243,0.007906163,0.016010989,0.011969304,0.008316931,0.021703921,0.1372389,,,,0.0452262649382312,4250.0,0.0004838243760049,0.0033411695695037,0.0021989606436354,som,False,True,True,True,False,False,False
0.031181119869033,0.0465031840553284,0.0270280541282273,0.042322166,0.018170567,0.015763495,0.042787336,0.005248246,0.010821636,0.0060868403,0.012048574,0.006499601,0.018652927,0.20362668,0.013073859,0.0370704,0.02300933,0.015732067,0.017102411,0.0071485317,0.0077394983,0.009542119,0.015918829,0.0074302643,0.027345026,0.005345459,0.0039599976,0.016550437,0.012863332,0.0079302415,0.03144154,0.025284639,0.0038182766,0.016406786,0.017672736,0.011633497,0.01783182,,,0.26612085,,0.0463431721940771,4200.0,0.0002580691354732,0.0041401557441548,0.0024762087162813,som,False,True,True,False,True,False,False
0.0425755750861301,0.0775295715357077,0.0579888446368793,0.02349707,0.01638994,0.029066753,0.036358453,0.019355852,0.013212092,0.015472641,0.03443645,0.0097429035,0.034506656,0.02706171,0.008189335,0.015370366,0.05458659,0.023839425,0.03125586,0.013782683,0.007225898,0.018886166,0.040390175,0.014821005,0.045681123,0.010839684,0.006493268,0.023691403,0.04537991,0.008527474,0.03897607,0.025338555,0.007980267,0.023941543,0.058675457,0.00904562,0.043720786,,0.16426077,,,0.059740797022705,3650.0,0.0002845024930306,0.0029190485443538,0.0033497553709593,som,False,True,True,False,False,True,False
0.0430815093810386,0.0785108672217385,0.0586668118335778,0.025520284,0.020036913,0.018670034,0.026343131,0.020048274,0.013591358,0.026280139,0.03715124,0.011209549,0.040049426,0.037723538,0.00944144,0.016127467,0.04688685,0.032212507,0.028790701,0.018029261,0.008041528,0.019512277,0.04327648,0.012864848,0.045019247,0.010189104,0.0072674872,0.02192762,0.047575653,0.009450441,0.036963638,0.02395271,0.008620778,0.023051593,0.05780095,0.008934791,0.035794325,,,,0.1516444,0.0504387777836544,4300.0,0.0004367899506061,0.0032625814486678,0.0031851976801492,som,False,True,True,False,False,False,True
0.0265316115085274,0.0612154675161868,0.0425794037042386,0.06937966,0.0058475924,0.0073393844,0.011118694,0.003956825,0.0032383066,0.0043265577,0.0071803383,0.0035039135,0.007587922,0.13253453,0.00709354,0.025313267,0.0112743005,0.0047092983,0.015053931,0.0053928206,0.003271507,0.008998698,0.01359304,0.004407311,0.025203073,0.0028209537,0.002119245,0.015531039,0.0046477136,0.0033171638,0.025797728,0.005372437,0.0022011849,0.0068264715,0.007884371,0.0033725519,0.009901042,0.07493982,0.046484824,0.3295415,0.07891749,0.045964730997327,4150.0,0.000181386927278,0.0022908391367893,0.0016740458345586,kan,False,True,True,True,True,True,True
