source_lang,target_lang,aya_f1,llama3_f1,smollm_135m_f1,smollm_360m_f1,bloomz_560m_f1,train_word_vocab_size,test_word_vocab_size,avg_train_sentence_length,avg_test_sentence_length,train_test_word_overlap,ttr_train,ttr_test,train_test_ttr_distance,train_test_jsd,train_test_tf_idf,train_test_st_similarity,genetic,geographic,syntactic,inventory,phonological,featural,directional_indicator
km-KH,sw-KE,0.5966587112171801,12.63590949162503,0.3006388575723413,0.2796713861213074,0.6729475100942126,72,26,17.246221990620114,32.30060524546066,0.2653061224489796,0.0003625870586635,0.0002706585330307,0.1153605034029969,0.7995050689982649,0.9847161755452464,0.2629828970607405,1.0,1.0,0.68,0.6372,0.6667,0.7,1
km-KH,it-IT,2.710027100271,18.00755155387743,0.5036877136175572,1.1764705882352944,0.5544683626875408,72,26,17.246221990620114,32.29791526563551,0.2653061224489796,0.0003625870586635,0.0002706810752285,0.115284730108107,0.7991727639520317,0.9819021282628416,0.0436506847682535,1.0,0.5,0.63,0.592,0.6667,0.6,0
km-KH,es-ES,1.96775075157146,18.09133489461358,0.5629838142153412,0.6617903169627308,1.962110960757781,72,26,17.246221990620114,32.97915265635508,0.2653061224489796,0.0003625870586635,0.0002650897226753,0.1352694477092304,0.7988683576663593,0.9820079845294284,0.0460935658153455,1.0,0.5,0.69,0.6364,0.5922,0.7,0
km-KH,nl-NL,2.98759864712514,21.34319863403528,0.2443707453307733,0.9115462525320732,0.4830140074062148,72,26,17.246221990620114,33.24747814391392,0.2653061224489796,0.0003625870586635,0.0002629503023928,0.1435792933744814,0.7993057532422401,0.983753460285122,0.0458692310237486,1.0,0.5,0.72,0.5511,0.6667,0.6,1
km-KH,ta-IN,0.07145409074669,0.03787161522438,0.2319647413593133,0.2411381721726549,0.1057082452431289,72,59,17.246221990620114,26.33658372562206,0.1908396946564885,0.0003625870586635,0.0007532716246409,0.2689981500438604,0.825573356996415,0.996037410700903,0.0166226267228873,1.0,0.1,0.9,0.5698,0.6667,0.7,1
km-KH,ko-KR,2.1541568495456,3.90271493212669,0.3414717432132491,2.889010788078259,0.1366353543979504,72,90,17.246221990620114,54.65063887020848,0.1666666666666666,0.0003625870586635,0.0005537405171936,0.1191658228525843,0.8252952819342247,0.9918193980060784,0.0381016921534645,1.0,0.2,0.76,0.4683,0.4078,0.6,1
km-KH,tr-TR,3.2276995305164298,2.36608609924416,0.1431639226914817,1.0957994354972604,0.6973269134982567,72,27,17.246221990620114,30.232347007397443,0.2626262626262626,0.0003625870586635,0.0003002969603274,0.0430265139534401,0.7991486775477744,0.9832116493614924,0.0437886651676112,1.0,0.4,0.83,0.5526,0.5922,0.7,1
km-KH,sv-SE,1.30847235852142,20.30075187969924,0.2446696959105208,0.882064684743548,0.2993514052885415,72,26,17.246221990620114,29.364492266308,0.2653061224489796,0.0003625870586635,0.000297721287072,0.0474691441168258,0.7988649656516973,0.982449373499739,0.0430961676012295,1.0,0.4,0.74,0.5405,0.6667,0.6,1
km-KH,ka-GE,0.0,0.4084758743936599,0.5028735632183909,0.4310344827586206,0.3705287159754881,72,58,17.246221990620114,28.15803631472764,0.1923076923076923,0.0003625870586635,0.0006926034725705,0.2270396727660098,0.8265202038341501,0.9998706883974884,0.0178283622347721,1.0,0.3,0.77,0.6176,0.614,0.7,0
km-KH,ar-SA,4.60829493087557,5.59556786703601,0.7817811012916386,0.6534879921581441,0.6222990492653414,72,59,17.246221990620114,23.226630800269,0.2061068702290076,0.0003625870586635,0.0008541316810469,0.3311892538616907,0.8165369587234704,0.9987011977880544,0.0266142452559434,1.0,1.0,0.68,0.6372,0.6667,0.7,0
