source_lang,target_lang,train_dataset,dataset_size,test_dataset,genetic,geographic,syntactic,inventory,phonological,featural,dev_size,test_size,train_word_vocab_size,dev_word_vocab_size,test_word_vocab_size,avg_train_sentence_length,avg_dev_sentence_length,avg_test_sentence_length,train_dev_word_overlap,train_test_word_overlap,dev_test_word_overlap,ttr_train,ttr_dev,ttr_test,train_dev_ttr_distance,train_test_ttr_distance,dev_test_ttr_distance,train_dev_jsd,train_test_jsd,dev_test_jsd,train_dev_tf_idf,train_test_tf_idf,dev_test_tf_idf,train_dev_st_similarity,train_test_st_similarity,dev_test_st_similarity,trfm_spBLEU_mean,trfm_spBLEU_se,trfm_chrF2++_mean,trfm_chrF2++_se,trfm_BLEU_mean,trfm_BLEU_se,trfm_chrF2_mean,trfm_chrF2_se,trfm_TER_mean,trfm_TER_se,trfm_comet_score_mean,trfm_comet_score_se,nllb_ft_spBLEU_mean,nllb_ft_spBLEU_se,nllb_ft_chrF2++_mean,nllb_ft_chrF2++_se,nllb_ft_BLEU_mean,nllb_ft_BLEU_se,nllb_ft_chrF2_mean,nllb_ft_chrF2_se,nllb_ft_TER_mean,nllb_ft_TER_se,nllb_ft_comet_score_mean,nllb_ft_comet_score_se,nllb_noft_spBLEU_mean,nllb_noft_spBLEU_se,nllb_noft_chrF2++_mean,nllb_noft_chrF2++_se,nllb_noft_BLEU_mean,nllb_noft_BLEU_se,nllb_noft_chrF2_mean,nllb_noft_chrF2_se,nllb_noft_TER_mean,nllb_noft_TER_se,nllb_noft_comet_score_mean,nllb_noft_comet_score_se,small100_ft_spBLEU_mean,small100_ft_spBLEU_se,small100_ft_chrF2++_mean,small100_ft_chrF2++_se,small100_ft_BLEU_mean,small100_ft_BLEU_se,small100_ft_chrF2_mean,small100_ft_chrF2_se,small100_ft_TER_mean,small100_ft_TER_se,small100_ft_comet_score_mean,small100_ft_comet_score_se,small100_noft_spBLEU_mean,small100_noft_spBLEU_se,small100_noft_chrF2++_mean,small100_noft_chrF2++_se,small100_noft_BLEU_mean,small100_noft_BLEU_se,small100_noft_chrF2_mean,small100_noft_chrF2_se,small100_noft_TER_mean,small100_noft_TER_se,small100_noft_comet_score_mean,small100_noft_comet_score_se,m2m100_ft_spBLEU_mean,m2m100_ft_spBLEU_se,m2m100_ft_chrF2++_mean,m2m100_ft_chrF2++_se,m2m100_ft_BLEU_mean,m2m100_ft_BLEU_se,m2m100_ft_chrF2_mean,m2m100_ft_chrF2_se,m2m100_ft_TER_mean,m2m100_ft_TER_se,m2m100_ft_comet_score_mean,m2m100_ft_comet_score_se,m2m100_noft_spBLEU_mean,m2m100_noft_spBLEU_se,m2m100_noft_chrF2++_mean,m2m100_noft_chrF2++_se,m2m100_noft_BLEU_mean,m2m100_noft_BLEU_se,m2m100_noft_chrF2_mean,m2m100_noft_chrF2_se,m2m100_noft_TER_mean,m2m100_noft_TER_se,m2m100_noft_comet_score_mean,m2m100_noft_comet_score_se
sun,ind,nusa_kalimat_mt,3000,nusa_kalimat_mt,0.3333,0,0.38,0.3483,0.5687,0.4,849,2000,36,36,36,116.417,119.7396938,118.917,0.5,0.5,0.5,0.0001030777292,0.0003541250652,0.0001513660789,0.5025715493,0.1017718348,1.794333235,0.009511786126,0.006447008384,0.00955816898,0.0001765361591,0.000117604181,0.0002041919676,0.003091409323,0.001251767537,0.002333991585,16.5,1,31.9,0.8,7.3,0.6,34.6,0.9,82.4,0.8,0.5744,0.1911,46.5,1.2,64,0.7,30.3,0.9,67.4,0.7,45.5,0.9,0.8726,0.0764,31.8,1.2,49.6,0.8,16,0.7,53.5,0.8,64.6,1.2,0.7983,0.1237,46,1.1,63.8,0.7,30.5,0.9,67,0.6,44.2,0.9,0.8624,0.0809,9.7,0.8,18.7,0.7,1.8,0.2,20.8,0.7,131.6,4.7,0.437,0.1782,38.7,1.2,56,0.7,22.3,0.8,59.3,0.8,54.5,1,0.8065,0.1153,21.3,1.2,35.8,0.8,6.9,0.5,39.6,0.8,83.3,2.3,0.6618,0.1752
sun,ind,nusa_kalimat_mt,6000,nusa_kalimat_mt,0.3333,0,0.38,0.3483,0.5687,0.4,849,2000,36,36,36,117.0586471,119.7396938,118.917,0.5,0.5,0.5,5.12E-05,0.0003541250652,0.0001513660789,0.7315507365,0.4375659825,1.794333235,0.008782952229,0.005591859597,0.00955816898,0.000350613012,0.007084115995,0.0002041919676,0.002279217983,0.000942784476,0.002333991585,17.2,1.1,34.2,0.8,8.3,0.6,37.1,0.9,80.2,0.9,0.6002,0.1856,47.5,1.2,64.9,0.7,31.3,0.9,68.2,0.7,44.4,0.9,0.8775,0.0725,31.8,1.2,49.6,0.8,16,0.7,53.5,0.8,64.6,1.2,0.7983,0.1237,46.4,1.1,63.2,0.8,31.4,0.9,66.3,0.8,44.4,1,0.8551,0.1256,9.7,0.8,18.7,0.7,1.8,0.2,20.8,0.7,131.6,4.7,0.437,0.1782,45,1.4,61.5,1,30.8,1,64.5,1,46.6,1.1,0.8428,0.1641,21.3,1.2,35.8,0.8,6.9,0.5,39.6,0.8,83.3,2.3,0.6618,0.1752
sun,ind,nusa_kalimat_mt,6600,nusa_kalimat_mt,0.3333,0,0.38,0.3483,0.5687,0.4,849,2000,36,36,36,117.4769697,119.7396938,118.917,0.5,0.5,0.5,4.64E-05,0.0003541250652,0.0001513660789,0.754962831,0.4806027137,1.794333235,0.00881756598,0.005362266068,0.00955816898,0.0001792767499,0.0001064810888,0.0002041919676,0.002177140846,0.0008997896911,0.002333991585,18.7,0.9,38.1,0.5,7.2,0.5,41.6,0.5,78,0.6,0.6034,0.1496,47.4,1.2,64.8,0.7,31.4,1,68.2,0.7,44.4,0.9,0.8773,0.0729,31.8,1.2,49.6,0.8,16,0.7,53.5,0.8,64.6,1.2,0.7983,0.1237,47,1.2,64.2,0.7,31.7,0.9,67.3,0.7,43.7,0.9,0.8627,0.1046,9.7,0.8,18.7,0.7,1.8,0.2,20.8,0.7,131.6,4.7,0.437,0.1782,46.8,1.2,63.1,0.8,31.3,1,66.2,0.8,45.1,1,0.8585,0.1275,21.3,1.2,35.8,0.8,6.9,0.5,39.6,0.8,83.3,2.3,0.6618,0.1752
sun,jav,nusa_kalimat_mt,1000,nusa_kalimat_mt,0.5,0,0.74,0.4477,0.7223,0.6,849,2000,36,36,36,113.15,120.360424,119.5955,0.5,0.5,0.5,0.0003181617322,0.0003522987493,0.0001505073351,0.009389207503,1.240836511,1.797587483,0.01420952803,0.01015646381,0.01259879788,0.0006739945147,0.0003167282136,0.0003134342949,0.00288852499,0.001999948142,0.001087309642,6.2,0.5,20,0.3,0.8,0.2,23,0.3,98.8,0.6,0.5049,0.1003,33,1.1,51.3,0.6,16.6,0.7,54.6,0.6,58.3,0.8,0.8388,0.0784,24.9,1.1,42.3,0.7,10.4,0.6,45.8,0.7,70.2,0.9,0.7927,0.1037,14.2,1,33.2,0.9,7.6,0.5,35.4,1,84.5,2.6,0.6347,0.235,9.1,0.8,17.7,0.6,1.4,0.2,19.9,0.7,133.3,4.7,0.4113,0.1691,29.2,1.1,47.8,0.6,13.2,0.6,51.2,0.6,65.8,1.5,0.7943,0.0963,18.2,1.1,31.1,0.7,4.2,0.4,35,0.7,89.9,2.2,0.6994,0.1703
sun,jav,nusa_kalimat_mt,3000,nusa_kalimat_mt,0.5,0,0.74,0.4477,0.7223,0.6,849,2000,36,36,36,116.5093333,120.360424,119.5955,0.5,0.5,0.5,0.0001029960404,0.0003522987493,0.0001505073351,0.5007624925,0.09965025152,1.797587483,0.01064162628,0.007654227707,0.01259879788,0.0002615438878,0.0002171784894,0.0003134342949,0.001590285931,0.001002703776,0.001087309642,13.1,0.7,31,0.4,3.4,0.3,34.1,0.4,86.7,0.7,0.625,0.1195,35.2,1.1,53.3,0.6,18.4,0.7,56.5,0.6,55.6,0.8,0.8476,0.0748,24.9,1.1,42.3,0.7,10.4,0.6,45.8,0.7,70.2,0.9,0.7927,0.1037,33.7,1,52.5,0.6,17.6,0.7,55.8,0.6,56,1.1,0.8373,0.082,9.1,0.8,17.7,0.6,1.4,0.2,19.9,0.7,133.3,4.7,0.4113,0.1691,33.1,1,51.3,0.6,16.2,0.7,54.6,0.6,59.2,0.8,0.8181,0.0854,18.2,1.1,31.1,0.7,4.2,0.4,35,0.7,89.9,2.2,0.6994,0.1703
sun,jav,nusa_kalimat_mt,6000,nusa_kalimat_mt,0.5,0,0.74,0.4477,0.7223,0.6,849,2000,36,36,36,117.3205,120.360424,119.5955,0.5,0.5,0.5,5.11E-05,0.0003522987493,0.0001505073351,0.7307404055,0.435867858,1.797587483,0.01079107005,0.006940103571,0.01259879788,0.0004314501577,0.0001249657269,0.0003134342949,0.001170485968,0.0006486469233,0.001087309642,18.8,0.8,38,0.5,6.8,0.4,41,0.5,77.7,0.7,0.7016,0.1144,36.6,1,54.4,0.6,19.5,0.7,57.7,0.6,54.3,0.8,0.8508,0.0749,24.9,1.1,42.3,0.7,10.4,0.6,45.8,0.7,70.2,0.9,0.7927,0.1037,36.5,1,54.7,0.6,20,0.7,57.9,0.6,53.4,1.1,0.8454,0.08,9.1,0.8,17.7,0.6,1.4,0.2,19.9,0.7,133.3,4.7,0.4113,0.1691,35.4,1,53,0.6,18.1,0.7,56.3,0.6,57.1,0.8,0.8281,0.0804,18.2,1.1,31.1,0.7,4.2,0.4,35,0.7,89.9,2.2,0.6994,0.1703
sun,jav,nusa_kalimat_mt,6600,nusa_kalimat_mt,0.5,0,0.74,0.4477,0.7223,0.6,849,2000,36,36,36,117.7536364,120.360424,119.5955,0.5,0.5,0.5,4.63E-05,0.0003522987493,0.0001505073351,0.754319922,0.4791820914,1.797587483,0.01065606721,0.0066275966,0.01259879788,0.0002502484435,0.0001674397978,0.0003134342949,0.001133434433,0.0006000912423,0.001087309642,19.9,0.8,39.1,0.5,7.6,0.5,42.2,0.5,74.7,0.7,0.7216,0.1114,37.1,1.1,54.8,0.6,20,0.7,58.1,0.6,53.8,0.8,0.8524,0.0742,24.9,1.1,42.3,0.7,10.4,0.6,45.8,0.7,70.2,0.9,0.7927,0.1037,36.6,1,54.7,0.6,19.8,0.7,57.9,0.6,53.2,0.8,0.8434,0.0804,9.1,0.8,17.7,0.6,1.4,0.2,19.9,0.7,133.3,4.7,0.4113,0.1691,36.9,1,54.7,0.6,20.1,0.7,57.9,0.6,53.5,0.8,0.8438,0.0793,18.2,1.1,31.1,0.7,4.2,0.4,35,0.7,89.9,2.2,0.6994,0.1703
sun,mad,nusa_kalimat_mt,1000,nusa_kalimat_mt,0.3333,0,0.68,0.3806,0.8278,0.5,849,2000,36,36,36,117.919,125.5700824,124.613,0.5,0.5,0.5,0.0003052943122,0.0003376825596,0.0001444472086,0.009199360429,1.239961449,1.789595397,0.01317567078,0.008883295102,0.01069253244,0.0003652309492,0.000134554158,0.0002128211046,0.001965056222,0.0008392385391,0.001094008278,5.2,0.5,16.4,0.3,0.5,0.2,18.8,0.3,99.7,0.9,0.4862,0.0848,22.5,0.9,40.6,0.6,7.5,0.5,44.4,0.6,72.8,0.9,0.7052,0.1015,13.3,0.9,24.9,0.7,2.9,0.3,28.4,0.8,95.5,2.3,0.5848,0.1337,22.3,0.9,41.1,0.6,7.6,0.5,44.8,0.6,74.8,1.1,0.6977,0.1081,8.8,0.8,17,0.6,1.3,0.2,19.2,0.7,131.4,4.5,0.4014,0.1583,24.1,0.9,42.1,0.6,8.2,0.5,46,0.6,71,1.1,0.7104,0.0994,14.1,0.9,27.4,0.6,3.3,0.4,31,0.7,91.6,2.1,0.6109,0.1567
sun,mad,nusa_kalimat_mt,3000,nusa_kalimat_mt,0.3333,0,0.68,0.3806,0.8278,0.5,849,2000,36,36,36,121.9076667,125.5700824,124.613,0.5,0.5,0.5,9.84E-05,0.0003376825596,0.0001444472086,0.5019693616,0.1014670271,1.789595397,0.01042580382,0.00598350176,0.01069253244,0.0001776024479,9.23E-05,0.0002128211046,0.001269177969,0.0004277697663,0.001094008278,9.8,0.6,26.4,0.4,1.7,0.3,29.6,0.4,93.9,0.9,0.6007,0.0942,25.1,0.9,43.3,0.6,8.9,0.5,47.2,0.6,69.2,0.8,0.7142,0.0991,13.3,0.9,24.9,0.7,2.9,0.3,28.4,0.8,95.5,2.3,0.5848,0.1337,24.7,0.9,43.5,0.6,8.7,0.5,47.5,0.6,72,0.9,0.7092,0.1001,8.8,0.8,17,0.6,1.3,0.2,19.2,0.7,131.4,4.5,0.4014,0.1583,25.9,0.9,43.3,0.6,9.5,0.6,47.5,0.6,69.6,0.9,0.7041,0.094,14.1,0.9,27.4,0.6,3.3,0.4,31,0.7,91.6,2.1,0.6109,0.1567
sun,mad,nusa_kalimat_mt,6000,nusa_kalimat_mt,0.3333,0,0.68,0.3806,0.8278,0.5,849,2000,36,36,36,122.8756667,125.5700824,124.613,0.5,0.5,0.5,4.88E-05,0.0003376825596,0.0001444472086,0.7317043529,0.4381826773,1.789595397,0.008933921625,0.005297896722,0.01069253244,0.0004424313748,6.72E-05,0.0002128211046,0.001122444508,0.000294244653,0.001094008278,14.3,0.7,31.5,0.4,3.3,0.3,34.9,0.5,85,0.7,0.6438,0.0927,26.1,0.9,43.8,0.6,9.4,0.5,47.8,0.6,68.8,0.9,0.7135,0.0972,13.3,0.9,24.9,0.7,2.9,0.3,28.4,0.8,95.5,2.3,0.5848,0.1337,27,0.9,45.1,0.6,10.2,0.6,49.3,0.6,67.1,0.8,0.7197,0.0965,8.8,0.8,17,0.6,1.3,0.2,19.2,0.7,131.4,4.5,0.4014,0.1583,26.2,0.9,44.5,0.6,9.7,0.6,48.7,0.6,68.3,0.8,0.7169,0.097,14.1,0.9,27.4,0.6,3.3,0.4,31,0.7,91.6,2.1,0.6109,0.1567
