cv_rmse,test_rmse,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,train_test_jsd_importance,train_test_tf_idf_importance,train_test_st_similarity_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,directional_indicator_importance,smollm_135m_score_importance,smollm_360m_score_importance,bloomz_560m_score_importance,eta,n_estimators,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
5.379430753647389,5.079809371384887,0.05854665,0.06251171,0.091521226,0.019727644,0.057573896,0.102864645,0.07093096,0.024283877,0.07006392,0.015815653,0.018004756,0.021945763,0.033246577,0.015781943,0.0059046852,0.005829818,0.009081801,0.01292743,0.09768365,0.18150327,0.024250183,0.019952272886953143,3850.0,0.1461169711199144,0.21440565665084516,False,True,True,True,True,True,False
5.691926132346225,5.479216129679704,0.07471327,0.0812688,0.0826458,0.031136012,0.16893145,0.1892614,0.09069345,0.02183147,,,,0.11708538,0.053702105,0.03130128,0.009979462,0.01758829,0.029861849,,,,,0.01768777812820567,3550.0,0.15948776606633053,0.3424425524777797,True,False,False,False,False,False,False
5.537737054342577,5.383480341317826,0.05121578,0.068867646,0.092909805,0.026784688,0.06544714,0.11550717,0.07266688,0.030493295,0.08076115,0.034352116,0.019605126,0.033693366,0.045376778,0.018118892,0.0062202117,0.008791526,0.0143645685,0.0078095035,0.20701437,,,0.019635104162231652,4050.0,0.17014266594395716,0.21633802355376874,False,True,True,True,False,False,False
5.317395173911823,5.055925074774133,0.058329493,0.0767977,0.09689769,0.023415023,0.06359427,0.11399653,0.06666198,0.025243673,0.07239136,0.031748757,0.015826847,0.026217952,0.038472768,0.015492921,0.0061393385,0.006436739,0.0134306345,0.01297616,,0.23593017,,0.022033174508341198,4000.0,0.18650457443867213,0.23186239935473654,False,True,True,False,True,False,False
5.600663546750998,5.3955227881635635,0.049988646,0.06839672,0.09343169,0.027258206,0.17254081,0.12827957,0.053975534,0.023830403,0.12744614,0.03765575,0.021002695,0.041706946,0.040404998,0.021694897,0.0067877723,0.0067101745,0.016569342,0.01124359,,,0.05107615,0.02862776574314948,3850.0,0.11246155118351615,0.19280931514936833,False,True,True,False,False,True,False
