cv_rmse,test_rmse,cv_rmse_se,test_rmse_se,train_portion,train_regressor_size
7.208617823,6.170000287,0.5117094432,0.7123364235,0.05,42
6.697992313,5.338179398,0.9133161413,0.2937819685,0.1,83
5.58826269,4.626516853,0.3413609456,0.2219841376,0.2,166
4.96894281,4.387025272,0.3869882627,0.2426007123,0.35,291
4.709468821,4.097100078,0.2011451513,0.2210429794,0.5,415
4.170237984,3.930396819,0.2304215526,0.2712661616,0.75,622
3.942740151,3.849168555,0.2134326382,0.2535584646,0.9,747
3.808261175,3.789808715,0.10636449,0.2967892528,1,830
