cv_rmse,test_rmse,dataset_size_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,dev_size_importance,test_size_importance,train_word_vocab_size_importance,dev_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_dev_sentence_length_importance,avg_test_sentence_length_importance,train_dev_word_overlap_importance,train_test_word_overlap_importance,dev_test_word_overlap_importance,ttr_train_importance,ttr_dev_importance,ttr_test_importance,train_dev_ttr_distance_importance,train_test_ttr_distance_importance,dev_test_ttr_distance_importance,train_dev_jsd_importance,train_test_jsd_importance,dev_test_jsd_importance,train_dev_tf_idf_importance,train_test_tf_idf_importance,dev_test_tf_idf_importance,train_dev_st_similarity_importance,train_test_st_similarity_importance,dev_test_st_similarity_importance,eng_target_importance,trfm_spBLEU_mean_importance,small100_noft_spBLEU_mean_importance,small100_ft_spBLEU_mean_importance,m2m100_noft_spBLEU_mean_importance,eta,n_estimators,cv_rmse_se,test_rmse_se,train_portion,train_regressor_size
7.208617822723329,6.170000287435678,0.0118016945,0.00091436924,0.014578357,0.014661571,0.011807963,0.0032700947,0.0009382245,0.0027913102,0.0067623183,0.042122513,0.0032127935,0.0099588055,0.0148138255,0.011910698,0.03393636,0.01640342,0.00862779,0.020498052,0.0070462273,0.0053436034,0.00796101,0.023102392,0.0028627985,0.016286183,0.007838148,0.028764531,0.007308328,0.00437165,0.012503159,0.009312568,0.015230495,0.047405053,0.010731746,0.0137492735,0.1636675,0.080655895,0.24347234,0.06337691,0.04684946832073074,3200.0,0.5117094432489196,0.7123364234761049,0.05,42
6.697992313349909,5.33817939797524,0.010850188,0.01836498,0.034605198,0.025450498,0.015165037,0.018262275,0.010073926,0.008068169,0.017473215,0.028283611,0.013420546,0.01159132,0.015718266,0.008095579,0.015980933,0.01794118,0.012603519,0.012883155,0.0087745935,0.004558341,0.008154033,0.018336901,0.009546424,0.014076656,0.012633595,0.028855324,0.013490292,0.017738331,0.011737874,0.020700872,0.022569792,0.01844551,0.00631094,0.0011077069,0.12316747,0.053272832,0.26665917,0.04503175,0.049213854312521496,3100.0,0.9133161413299548,0.2937819684807703,0.1,83
5.588262689974761,4.626516852573469,0.016706567,0.0056698597,0.011285671,0.0087843705,0.015649859,0.012948126,0.0020900061,0.012267044,0.011661636,0.020806003,0.014853418,0.0077252304,0.01058876,0.0075209113,0.015444209,0.021167176,0.031490307,0.013435913,0.011026749,0.0064044697,0.008337704,0.008786211,0.010809676,0.0057968237,0.0100801485,0.03043431,0.008488191,0.019426992,0.015746614,0.009560027,0.012451768,0.024788748,0.009725808,0.0052543706,0.12393433,0.028915757,0.34238777,0.06754847,0.03274844523149158,3200.0,0.3413609456411382,0.2219841375830365,0.2,166
4.9689428101335515,4.387025272484195,0.014609736,0.033732336,0.009974713,0.005549601,0.016619077,0.0077322065,0.017656531,0.010322836,0.009516374,0.014258173,0.03846019,0.009251956,0.014729085,0.007866738,0.008401571,0.020857563,0.0124276,0.008244609,0.012663809,0.011695933,0.005783425,0.009948477,0.009695937,0.00580591,0.00991154,0.019448604,0.0073673157,0.010257909,0.007627734,0.009349981,0.011608725,0.022794053,0.0060619623,0.0051339627,0.1025687,0.038885407,0.38882816,0.04435157,0.05865785366059859,3750.0,0.386988262678967,0.24260071230252897,0.35,291
4.709468821377959,4.097100077705051,0.014873361,0.023129303,0.005490306,0.00700047,0.008079606,0.005288016,0.0040454436,0.011097854,0.004223473,0.015538205,0.009861501,0.007278106,0.012473786,0.00826229,0.009811562,0.024578124,0.015458344,0.009851962,0.011494097,0.0057379073,0.00310404,0.011717957,0.0073077595,0.0055610067,0.009841824,0.017177856,0.006780497,0.008844272,0.008354565,0.0063196523,0.009042738,0.01984606,0.005517936,0.008250718,0.117978,0.035799254,0.4588333,0.04614882,0.02201712601904467,2700.0,0.20114515129248042,0.22104297939189044,0.5,415
4.170237984368535,3.9303968191476124,0.01646616,0.016546782,0.0071547665,0.009462203,0.008553967,0.005796886,0.009277059,0.010202637,0.004648856,0.015252898,0.009886217,0.008687046,0.013153164,0.0075550103,0.00671999,0.01853722,0.014246245,0.0074877143,0.007972885,0.005142671,0.0032747835,0.0087092975,0.0050963177,0.004883413,0.00860826,0.021976447,0.009291498,0.009516437,0.006813988,0.004881873,0.0077167973,0.017006641,0.0034293695,0.0065911273,0.11939069,0.023076445,0.4912464,0.045739897,0.027709785128371994,3250.0,0.23042155258586922,0.2712661615595447,0.75,622
3.9427401511447577,3.849168554821008,0.017061645,0.018538088,0.007665699,0.0076730996,0.0067812046,0.0048380457,0.005992632,0.0068916506,0.004475022,0.014395172,0.0106349625,0.0073906584,0.0125872865,0.0055902074,0.005595906,0.017995898,0.012255053,0.005162872,0.00812386,0.0057736887,0.003758565,0.009557942,0.004277859,0.0032513093,0.008953085,0.015700605,0.006897715,0.010003589,0.0071273446,0.0042171218,0.007969858,0.017922873,0.0034888512,0.008292427,0.12009664,0.023464723,0.5114339,0.04816295,0.02314275736893815,2600.0,0.21343263820461467,0.25355846455470665,0.9,747
