cv_rmse,test_source_rmse,test_target_rmse,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,learning_rate,num_leaves,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
6.360869167382783,10.295026176532913,15.469739997861268,96.0,116.0,301.0,371.0,201.0,50.0,160.0,128.0,314.0,368.0,249.0,255.0,278.0,196.0,0.1,32.0,0.045300087667851,0.0,0.0,ja-JP,True,False,False,False,False,False,False
6.495863097955055,9.98285694058928,12.865749141376838,108.0,145.0,297.0,341.0,188.0,51.0,146.0,159.0,333.0,358.0,232.0,223.0,265.0,231.0,0.1,32.0,0.0458777320925001,0.0,0.0,az-AZ,True,False,False,False,False,False,False
6.602258017127068,8.383106636666378,8.947106900979618,85.0,126.0,335.0,322.0,206.0,43.0,161.0,165.0,336.0,375.0,278.0,222.0,237.0,202.0,0.1,32.0,0.0461517863139221,0.0,0.0,nl-NL,True,False,False,False,False,False,False
6.634117209422705,16.848904785899848,27.10356979349769,106.0,131.0,292.0,319.0,186.0,49.0,192.0,173.0,340.0,418.0,249.0,204.0,215.0,225.0,0.1,32.0,0.0646910422042546,0.0,0.0,am-ET,True,False,False,False,False,False,False
6.51887425629478,10.411785232932662,8.537822128623883,93.0,130.0,284.0,342.0,178.0,54.0,183.0,148.0,335.0,411.0,238.0,202.0,249.0,226.0,0.1,32.0,0.0343510914875491,0.0,0.0,he-IL,True,False,False,False,False,False,False
6.603403980155605,22.21180330714205,12.119985014066824,91.0,128.0,289.0,315.0,184.0,47.0,141.0,160.0,346.0,398.0,264.0,216.0,238.0,258.0,0.1,32.0,0.0464054305769349,0.0,0.0,hy-AM,True,False,False,False,False,False,False
6.490336841401756,24.455768559978168,17.47158871948725,116.0,125.0,290.0,340.0,174.0,60.0,179.0,171.0,363.0,410.0,238.0,181.0,222.0,215.0,0.1,32.0,0.0549875448737186,0.0,0.0,ka-GE,True,False,False,False,False,False,False
6.636536341419598,6.392244468194797,9.039027666458164,89.0,124.0,285.0,359.0,169.0,61.0,149.0,173.0,334.0,389.0,280.0,184.0,243.0,221.0,0.1,32.0,0.0732394451604802,0.0,0.0,da-DK,True,False,False,False,False,False,False
6.5202370547568025,21.7081390211536,28.693353106531227,92.0,136.0,295.0,366.0,152.0,57.0,179.0,154.0,327.0,419.0,240.0,204.0,208.0,239.0,0.1,32.0,0.0357674659501811,0.0,0.0,ru-RU,True,False,False,False,False,False,False
6.635356313620598,30.39636808133879,12.994419021987222,91.0,142.0,271.0,342.0,165.0,44.0,165.0,165.0,363.0,400.0,253.0,229.0,267.0,189.0,0.1,32.0,0.0338396882077819,3.552713678800501e-15,1.7763568394002505e-15,km-KH,True,False,False,False,False,False,False
6.509269437122583,9.044974222595693,8.542208280355968,94.0,105.0,326.0,367.0,175.0,65.0,167.0,153.0,333.0,366.0,260.0,201.0,226.0,253.0,0.1,32.0,0.0515708784495708,0.0,0.0,vi-VN,True,False,False,False,False,False,False
6.642366911803556,5.769682675648755,6.315647759635297,91.0,142.0,297.0,313.0,187.0,48.0,192.0,172.0,323.0,360.0,233.0,217.0,270.0,248.0,0.1,32.0,0.0736278475698385,0.0,0.0,lv-LV,True,False,False,False,False,False,False
6.628195695148027,5.20646494197863,6.068126621493795,80.0,144.0,293.0,313.0,171.0,51.0,182.0,165.0,356.0,352.0,247.0,217.0,282.0,235.0,0.1,32.0,0.0552861551385174,0.0,0.0,es-ES,True,False,False,False,False,False,False
6.5406814581158725,21.03139701408756,6.871637754723865,78.0,133.0,289.0,315.0,193.0,55.0,213.0,161.0,365.0,403.0,247.0,175.0,246.0,209.0,0.1,32.0,0.0410916102149442,0.0,0.0,ur-PK,True,False,False,False,False,False,False
6.518004980566369,10.098486871390213,18.305732772198496,103.0,117.0,335.0,322.0,188.0,55.0,162.0,171.0,362.0,412.0,227.0,213.0,199.0,199.0,0.1,32.0,0.0308813042001344,0.0,0.0,sq-AL,True,False,False,False,False,False,False
6.571877359741672,5.926439258957309,18.232559766486467,98.0,130.0,249.0,359.0,178.0,70.0,166.0,162.0,356.0,386.0,249.0,211.0,231.0,245.0,0.1,32.0,0.0393297093425202,0.0,0.0,hu-HU,True,False,False,False,False,False,False
6.192724344623431,32.42502720695102,22.428837840144944,70.0,117.0,278.0,391.0,181.0,43.0,170.0,186.0,324.0,393.0,250.0,201.0,248.0,223.0,0.1,32.0,0.0968025731753408,0.0,0.0,hi-IN,True,False,False,False,False,False,False
6.488791402178978,17.599816818776294,18.04183783140676,122.0,123.0,311.0,328.0,184.0,68.0,123.0,150.0,362.0,393.0,266.0,187.0,226.0,219.0,0.1,32.0,0.0636336241602055,0.0,0.0,ko-KR,True,False,False,False,False,False,False
6.496848609595442,21.335041181036488,10.788237122652124,99.0,123.0,315.0,354.0,177.0,61.0,160.0,156.0,331.0,416.0,202.0,228.0,223.0,227.0,0.1,32.0,0.0572424253080441,0.0,0.0,kn-IN,True,False,False,False,False,False,False
6.598469259204966,19.389653156049118,7.734980786215848,95.0,123.0,284.0,344.0,182.0,48.0,155.0,175.0,344.0,409.0,240.0,207.0,234.0,231.0,0.1,32.0,0.0629398252762245,0.0,8.881784197001252e-16,bn-BD,True,False,False,False,False,False,False
6.581287705208136,7.92532596709361,8.089240522378422,98.0,129.0,305.0,339.0,187.0,62.0,170.0,150.0,347.0,402.0,240.0,190.0,236.0,225.0,0.1,32.0,0.0660965893043808,0.0,0.0,el-GR,True,False,False,False,False,False,False
6.609125914729228,4.499141585816953,18.979184774148443,100.0,127.0,291.0,345.0,164.0,54.0,180.0,178.0,379.0,332.0,264.0,213.0,251.0,200.0,0.1,32.0,0.0553404052413657,0.0,0.0,sv-SE,True,False,False,False,False,False,False
6.5933823480549165,6.583970427376118,14.271692074298349,84.0,130.0,271.0,327.0,214.0,59.0,151.0,168.0,324.0,401.0,267.0,224.0,209.0,244.0,0.1,32.0,0.0380023628413252,0.0,0.0,ro-RO,True,False,False,False,False,False,False
6.617237645922057,6.3947948281738585,11.452573705770442,97.0,140.0,294.0,343.0,171.0,28.0,167.0,157.0,347.0,392.0,238.0,214.0,258.0,222.0,0.1,32.0,0.069299429522267,0.0,0.0,pl-PL,True,False,False,False,False,False,False
6.6109352545039615,7.309791269161495,5.328192352820908,84.0,126.0,277.0,321.0,215.0,50.0,161.0,143.0,359.0,401.0,236.0,211.0,244.0,257.0,0.1,32.0,0.0369921449829156,8.881784197001252e-16,0.0,my-MM,True,False,False,False,False,False,False
6.672022816772222,6.790843013583265,8.937149341671688,83.0,119.0,304.0,357.0,204.0,52.0,169.0,153.0,342.0,377.0,243.0,226.0,234.0,217.0,0.1,32.0,0.0458504058821133,0.0,0.0,de-DE,True,False,False,False,False,False,False
6.474841900216528,7.865240657451901,22.113304249075647,90.0,133.0,299.0,349.0,198.0,34.0,186.0,170.0,348.0,372.0,251.0,205.0,236.0,215.0,0.1,32.0,0.0363754592926784,8.881784197001252e-16,0.0,is-IS,True,False,False,False,False,False,False
6.570998294089458,5.750557719185646,8.468264177153301,102.0,156.0,293.0,367.0,170.0,41.0,176.0,154.0,355.0,376.0,248.0,190.0,227.0,209.0,0.1,32.0,0.0262965591552212,0.0,0.0,sl-SL,True,False,False,False,False,False,False
