cv_rmse,test_source_rmse,test_target_rmse,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
12.564650354486355,9.343527476183723,15.237274840756502,0.011605894183391327,1.9459014222361975e-15,1.3759600911837627e-15,km-KH,False,True,True,True,True,True,False
13.99797981581558,10.303938327168964,14.232200705981153,0.014282984862742674,2.9724135207732003e-15,2.8642893384395585e-15,km-KH,True,False,False,False,False,False,False
13.001632825282893,10.052764448192011,15.576468936372692,0.012517162801694574,6.5025337000161895e-15,4.766465574234764e-15,km-KH,False,True,True,True,False,False,False
12.56198032140539,9.384112289735217,15.253467014219714,0.012288787294791808,3.370400129833633e-15,1.7763568394002505e-15,km-KH,False,True,True,False,True,False,False
13.259244115124568,8.894589538978305,14.399292501781492,0.013904383544215394,3.552713678800501e-15,1.3759600911837627e-15,km-KH,False,True,True,False,False,True,False
12.487129492981946,17.102012606760965,12.029786399456865,0.012632175005302282,5.2695259619608686e-15,2.1018137570293106e-15,kn-IN,False,True,True,True,True,True,False
13.868609623252434,17.563613993058723,12.905276815564097,0.015045721197204905,3.891802844472395e-15,1.5888218580782547e-15,kn-IN,True,False,False,False,False,False,False
12.948585429970688,17.01151349613586,11.913762464854035,0.013486983545716843,3.891802844472395e-15,1.1234667099445444e-15,kn-IN,False,True,True,True,False,False,False
12.496533405676232,16.55145142836863,11.91254265729151,0.013382866698030415,3.552713678800501e-15,1.7763568394002505e-15,kn-IN,False,True,True,False,True,False,False
13.094819541713733,19.314314888076026,12.643806287784848,0.014581615187344351,5.0242958677880805e-15,1.3759600911837627e-15,kn-IN,False,True,True,False,False,True,False
12.54162847311283,13.271674478322058,11.196906197051986,0.009900614838429448,7.237428003557285e-15,4.351167857633658e-15,zh-CN,False,True,True,True,True,True,False
13.829531772842543,14.602745387204186,15.108391326397552,0.012043057621978123,1.1262718746356881e-14,5.209300830207717e-15,zh-CN,True,False,False,False,False,False,False
12.955445448278564,13.975565911166921,12.538553962964476,0.011829694131332016,7.0608787845400624e-15,1.7763568394002505e-15,zh-CN,False,True,True,True,False,False,False
12.538986308517432,13.296342814459177,11.189783105075255,0.01105717737794447,6.453824896576403e-15,1.3759600911837627e-15,zh-CN,False,True,True,False,True,False,False
13.177144688625821,13.71824205789263,12.995040250215755,0.01224889880544447,4.961094661755162e-15,2.9724135207732003e-15,zh-CN,False,True,True,False,False,True,False
