cv_rmse,test_source_rmse,test_target_rmse,train_word_vocab_size_importance,test_word_vocab_size_importance,avg_train_sentence_length_importance,avg_test_sentence_length_importance,train_test_word_overlap_importance,ttr_train_importance,ttr_test_importance,train_test_ttr_distance_importance,train_test_jsd_importance,train_test_tf_idf_importance,train_test_st_similarity_importance,genetic_importance,geographic_importance,syntactic_importance,inventory_importance,phonological_importance,featural_importance,directional_indicator_importance,smollm_135m_score_importance,smollm_360m_score_importance,bloomz_560m_score_importance,eta,n_estimators,cv_rmse_se,test_source_rmse_se,test_target_rmse_se,lang,nlperf_only,dataset_features,lang_features,with_smollm_135m,with_smollm_360m,with_bloomz_560m,with_bloomz_1b
4.868176548957957,6.106877364464456,6.794107700406182,0.06463081,0.068322524,0.09526424,0.020645585,0.056416385,0.11338048,0.07329507,0.024194429,0.06900427,0.0150267035,0.016688429,0.013816824,0.034929123,0.014336253,0.0053607663,0.004541277,0.008906933,0.01353209,0.09169738,0.17593451,0.020075891,0.0190902536773985,4550.0,0.0533738920355324,0.1574825521844856,0.0833436875219905,en-US,False,True,True,True,True,True,False
5.205269162958129,10.499772246195525,7.590032725020983,0.08256114,0.08330077,0.092454165,0.0302196,0.15354696,0.20243457,0.094592586,0.01639526,,,,0.11003457,0.054792188,0.026765224,0.00871763,0.014810255,0.029375087,,,,,0.021880236235104,4050.0,0.068125024020084,0.1568317606592603,0.1126732760905985,en-US,True,False,False,False,False,False,False
5.032590821673254,5.821311400372539,8.22635749055328,0.061472453,0.075280994,0.095144086,0.027323222,0.060835015,0.12838069,0.07427522,0.030250352,0.07666912,0.03034038,0.019169942,0.02910375,0.042001158,0.01603577,0.0059754406,0.0063538374,0.01301018,0.011635966,0.19674242,,,0.0280965613095751,4100.0,0.0456523926030771,0.1258033383861202,0.1191133420109785,en-US,False,True,True,True,False,False,False
4.850692667274457,6.1648557591457305,6.835268755384314,0.054580063,0.07347481,0.09636163,0.023425126,0.06297839,0.12321043,0.06370873,0.02819905,0.07689652,0.030123726,0.01665106,0.025936773,0.036537427,0.014582674,0.0060204747,0.0051876223,0.012951501,0.00985073,,0.23932329,,0.0177799611275809,4100.0,0.0539714755334268,0.1327292726728538,0.1082547744948325,en-US,False,True,True,False,True,False,False
5.183642275383495,6.243445290513538,7.516326681896293,0.054478537,0.07035941,0.096593365,0.026582982,0.16293278,0.1381059,0.054077633,0.024913099,0.12989207,0.03399184,0.022417802,0.038720906,0.039302185,0.019881664,0.006567868,0.005269786,0.0150431,0.0119221145,,,0.048946984,0.0257485618058226,4150.0,0.0527853577048047,0.1250184957071441,0.2332549963115044,en-US,False,True,True,False,False,True,False
4.943044851004491,10.960836205796532,6.180880771624671,0.059260093,0.07963817,0.0957091,0.020841982,0.04387138,0.12824997,0.08658008,0.015493589,0.07507608,0.016232114,0.013156873,0.018391928,0.032842394,0.013345793,0.00503006,0.0034300734,0.009565824,0.008890847,0.095927015,0.15761194,0.020854663,0.0370149036407505,3900.0,0.0224596147853325,0.2310297789192414,0.2728621840332352,zh-CN,False,True,True,True,True,True,False
5.400315827972166,5.32460583589421,5.266837861728906,0.0728184,0.09174403,0.09096142,0.030933868,0.1645501,0.1947624,0.09569433,0.018701825,,,,0.108273745,0.050179232,0.029303864,0.008322104,0.011098576,0.032656144,,,,,0.0221787838416132,3800.0,0.0345398471176069,0.1130327304864025,0.1806080429033639,zh-CN,True,False,False,False,False,False,False
5.095586130084671,16.353725554514497,8.615483760558778,0.04306107,0.075356975,0.10041599,0.027533863,0.06200273,0.117535666,0.074678816,0.021505216,0.095513985,0.038506366,0.018278684,0.029988691,0.037068177,0.017200464,0.0061081746,0.0056370483,0.015021317,0.005322373,0.20926443,,,0.0180660702097852,3950.0,0.0232397316266674,0.1210570146041831,0.2395834357611688,zh-CN,False,True,True,True,False,False,False
4.973380242938108,9.20996167577204,4.393980152122976,0.04940123,0.0788874,0.10019817,0.023940045,0.06242917,0.11431078,0.06058377,0.0209019,0.0860351,0.03636684,0.015743086,0.022774562,0.032433856,0.014559189,0.005580213,0.004508061,0.015063864,0.008425722,,0.247857,,0.016909376671187,4050.0,0.0276586256274561,0.3741545778270732,0.2424363682998012,zh-CN,False,True,True,False,True,False,False
5.194415038284772,12.27215118320601,8.67047877800746,0.04677282,0.08122997,0.09523164,0.026370298,0.16849223,0.13233745,0.056648213,0.016292972,0.14559585,0.038551457,0.019590622,0.04165905,0.029314455,0.018943239,0.005935109,0.004368791,0.017576631,0.005967339,,,0.049121898,0.0278436927857666,4350.0,0.0559511456632202,0.4722273430711816,0.4500671688622576,zh-CN,False,True,True,False,False,True,False
4.95821053775493,3.526575829697535,2.324298417037804,0.06429092,0.0692361,0.095409416,0.023118882,0.047064416,0.1293396,0.08490969,0.020943766,0.06589552,0.015226925,0.014611097,0.017046815,0.037557565,0.014166531,0.005311076,0.004141198,0.007878626,0.014310084,0.090638,0.15737881,0.021524925,0.031361519475793,4500.0,0.0260672337920351,0.0373214391027833,0.0327078094325118,pt-PT,False,True,True,True,True,True,False
5.300392805495832,3.725380961866329,8.271305761862973,0.08315398,0.0846706,0.09317528,0.033480383,0.15255432,0.19667318,0.095432386,0.01580875,,,,0.11193886,0.052976847,0.02736115,0.008960228,0.014952043,0.028862003,,,,,0.0219224984502693,4200.0,0.0314443378286444,0.0630531817794282,0.108469603064219,pt-PT,True,False,False,False,False,False,False
5.140439916858694,3.710014479296925,4.262517610795397,0.054406453,0.0814545,0.09779231,0.028249573,0.060990095,0.12582341,0.07496792,0.029792542,0.074027546,0.031758256,0.017429348,0.031385962,0.043160886,0.017266326,0.0064872266,0.006129355,0.010453209,0.010140039,0.19828507,,,0.0284442220056562,3750.0,0.0241277510417957,0.0475464215629715,0.2005452972402092,pt-PT,False,True,True,True,False,False,False
4.963034890306401,3.744626961538037,2.163831198926144,0.050339174,0.072822586,0.09738558,0.02559792,0.062806085,0.11868322,0.062125552,0.028032955,0.077850804,0.03330803,0.016750097,0.02490878,0.03871535,0.014467364,0.0062340726,0.005601653,0.012492729,0.009288288,,0.2425898,,0.0181911785486115,3850.0,0.0367914328723501,0.0632246473484776,0.0637624413552213,pt-PT,False,True,True,False,True,False,False
5.25505735582303,3.864068892616254,3.8926652586009993,0.051664013,0.07354627,0.09585185,0.028662035,0.16998996,0.13341452,0.054529447,0.023605758,0.12292274,0.036900304,0.019623015,0.043436125,0.036784135,0.020389494,0.006668003,0.0052200193,0.013271065,0.011065328,,,0.052455913,0.0297048052477299,4050.0,0.0264484747167123,0.0928279044347966,0.1328773114110407,pt-PT,False,True,True,False,False,True,False
4.990314613731323,21.571673727002118,6.30825637772984,0.051148824,0.08082976,0.09837125,0.022707585,0.04491801,0.10209924,0.077788785,0.02143294,0.06961194,0.013952559,0.018136166,0.017591622,0.033989795,0.013293529,0.005190205,0.0056464756,0.009495242,0.012161353,0.09502347,0.17106356,0.035547696,0.0275161712351565,4100.0,0.0466867821517599,0.724931296493473,0.2781091872569436,ml-IN,False,True,True,True,True,True,False
5.293238487254177,28.86089832853733,8.537861577741129,0.07401281,0.0902779,0.088480085,0.033602282,0.15731871,0.19051582,0.10023226,0.018309673,,,,0.11590266,0.05047961,0.023879467,0.008928416,0.01677068,0.031289645,,,,,0.0213575108646177,3700.0,0.0363721957002544,0.3988569327714751,0.4735371362160384,ml-IN,True,False,False,False,False,False,False
5.131490187011696,23.73405829183159,7.236373409961713,0.053503435,0.08444347,0.08901738,0.030256948,0.06523754,0.115141,0.07351168,0.028660247,0.081949845,0.035139166,0.01959486,0.031250395,0.04307466,0.015468301,0.006380629,0.006549654,0.0139978975,0.009572532,0.19725034,,,0.0261427002993556,3800.0,0.0321863572058377,0.4580154531181004,0.1342442002006879,ml-IN,False,True,True,True,False,False,False
4.987347294447133,21.720190400031782,7.14292257089641,0.049125306,0.08374226,0.089964345,0.023886781,0.055910043,0.11111559,0.07204119,0.028170044,0.08165262,0.033089228,0.0170557,0.023294577,0.03572323,0.013408326,0.0060538226,0.0059096552,0.014861698,0.0071006627,,0.24789491,,0.0187857351792563,4100.0,0.0409535720598462,0.5813202670960376,0.0891758070719854,ml-IN,False,True,True,False,True,False,False
5.192195952147287,22.376686289222175,9.445614674985851,0.046222113,0.074889444,0.098567896,0.028398752,0.15814015,0.113803826,0.058428623,0.024506463,0.13301244,0.037125662,0.022236474,0.04454633,0.03854059,0.017729819,0.006832308,0.006132551,0.016924469,0.010769479,,,0.063192606,0.0298182347967283,4100.0,0.0454911912151491,1.047717769804585,0.4542787832492306,ml-IN,False,True,True,False,False,True,False
4.942663107904691,3.4967280367018296,4.546372146240598,0.060999013,0.07296093,0.0934671,0.022862526,0.0485821,0.121621564,0.07919586,0.02138934,0.0680082,0.014297672,0.017569404,0.016753655,0.036019497,0.014113337,0.0053351284,0.004532207,0.009520064,0.013283631,0.09281014,0.16385056,0.022828065,0.0272983578182122,3950.0,0.0240815118587079,0.0782443861928329,0.1439335157195211,af-ZA,False,True,True,True,True,True,False
5.295636426943927,7.435616515442876,9.74890076510818,0.07964376,0.08361242,0.09300507,0.032789823,0.15977302,0.19286919,0.09497974,0.017405882,,,,0.10476556,0.055758692,0.030141175,0.008854566,0.014953425,0.0314477,,,,,0.0200548317819754,3900.0,0.0278953858490197,0.1611529796108833,0.2390367142783133,af-ZA,True,False,False,False,False,False,False
5.142345416556391,3.875690873522493,4.539320725312531,0.059639405,0.08162076,0.09621457,0.02939837,0.06400682,0.123762034,0.07292564,0.028050292,0.07308442,0.030356597,0.018643059,0.030447673,0.042859245,0.017247362,0.0058086035,0.0061121252,0.015314299,0.009921675,0.19458707,,,0.0305680098993512,4100.0,0.0255606369170939,0.0754330969651396,0.2100847629588555,af-ZA,False,True,True,True,False,False,False
4.955652507926088,3.693766526758156,4.921643799163752,0.055424593,0.079911985,0.098290764,0.024806507,0.06055393,0.1183581,0.065694645,0.027877286,0.07070882,0.028493095,0.016397176,0.024084551,0.038403124,0.014388487,0.0058016637,0.00534775,0.014243801,0.008396155,,0.24281752,,0.0259565735320447,3850.0,0.0297894458213624,0.1722799488170201,0.0758530759285547,af-ZA,False,True,True,False,True,False,False
5.190052472338547,4.56161889965281,6.837757798547949,0.053880762,0.070539154,0.09672074,0.028336633,0.15666136,0.1256407,0.053518273,0.025159385,0.13421887,0.035452306,0.024178034,0.041722078,0.039422024,0.022498962,0.0063813515,0.005572392,0.017023178,0.008800538,,,0.05427327,0.0198814876280931,4600.0,0.0403397405538341,0.2217274167507546,0.0889566384846404,af-ZA,False,True,True,False,False,True,False
4.9189681945531065,8.064505476272275,4.010111419204335,0.060990024,0.069781154,0.094065055,0.0219508,0.041508794,0.13192949,0.08918469,0.019696288,0.06843515,0.013748571,0.015821803,0.016693931,0.03718859,0.014314982,0.005150562,0.004212463,0.007196225,0.016375836,0.09362744,0.15440743,0.023720715,0.0360960505610553,3700.0,0.0112781217836016,0.3739695968771918,0.1448173148336762,tl-PH,False,True,True,True,True,True,False
5.284710975076012,5.011198685764845,5.121125933744475,0.087239265,0.083384916,0.09189555,0.031817447,0.14857051,0.19093311,0.09454147,0.015933339,,,,0.11614136,0.058111846,0.026485553,0.008567171,0.0142934965,0.032084964,,,,,0.0318979678382849,3700.0,0.0304221422047658,0.0697981308687587,0.394228092766046,tl-PH,True,False,False,False,False,False,False
5.076642710685522,7.957244193281282,3.8213871406199225,0.059485953,0.08278101,0.09505109,0.028556421,0.06220419,0.12577675,0.0746348,0.02720753,0.074221954,0.030097406,0.019299835,0.029801156,0.043599904,0.01562733,0.0060116732,0.0059373635,0.013678275,0.01162712,0.19440022,,,0.0288323824294735,4100.0,0.0262139404049794,0.4272965819221275,0.1028445785428192,tl-PH,False,True,True,True,False,False,False
4.9296919830130665,7.828133765529939,3.9548361412567288,0.050055444,0.07368789,0.0954327,0.025267627,0.060858645,0.117742024,0.06401451,0.026871424,0.078100644,0.030619243,0.017077269,0.02381527,0.041409347,0.014012593,0.0059929136,0.005267066,0.012758563,0.010686902,,0.2463299,,0.0200795230331804,3850.0,0.0236186914886025,0.2353951333336564,0.1199958336015128,tl-PH,False,True,True,False,True,False,False
5.180340211728719,8.602906012076213,5.1257039723222295,0.05168304,0.073987946,0.09914761,0.028336266,0.16496928,0.1275774,0.051945597,0.02322853,0.12609398,0.03774959,0.021866972,0.042592894,0.042224623,0.02048835,0.006651501,0.0056070145,0.01375905,0.0118954405,,,0.05019488,0.0288231175784302,4550.0,0.0421428694194371,0.2482565263117073,0.3859357000516634,tl-PH,False,True,True,False,False,True,False
4.984259563570189,16.02247405784506,5.074556641563284,0.07875148,0.07187329,0.083527386,0.022610018,0.047767613,0.095775485,0.06868315,0.022411002,0.06866596,0.014714798,0.018588888,0.015822839,0.029178286,0.015090044,0.0053839623,0.005233843,0.010147942,0.0148517685,0.098266855,0.17394127,0.03871413,0.0280044828809596,3450.0,0.0236706699182206,1.0438217486665404,0.1791210146930713,te-IN,False,True,True,True,True,True,False
5.3030320719432655,18.10954697575913,6.984221560516849,0.081114545,0.08970921,0.081897184,0.03449835,0.1598639,0.1941746,0.09803982,0.01693075,,,,0.10246928,0.05287355,0.026357561,0.008783398,0.020004462,0.03328337,,,,,0.0275510255859617,3750.0,0.0343109281894521,1.1477850417379505,0.1471065963275682,te-IN,True,False,False,False,False,False,False
